number,value,datetime_start,datetime_complete,duration,params_alpha,params_l1_ratio,state
0,1.1400575098598156,2026-07-17 22:02:47.737949,2026-07-17 22:02:47.740045,0 days 00:00:00.002096,6.341310723409236,0.5462876041922079,COMPLETE
1,1.1400575098598156,2026-07-17 22:02:47.740090,2026-07-17 22:02:47.741787,0 days 00:00:00.001697,6.856558090115625,0.7105196738008773,COMPLETE
2,1.0461431999798045,2026-07-17 22:02:47.741822,2026-07-17 22:02:47.744422,0 days 00:00:00.002600,0.1535935391236005,0.22176770566876886,COMPLETE
3,1.1202547114124413,2026-07-17 22:02:47.744454,2026-07-17 22:02:47.746250,0 days 00:00:00.001796,7.205211419490808,0.016105650100498067,COMPLETE
4,1.019299535605596,2026-07-17 22:02:47.746282,2026-07-17 22:02:48.045502,0 days 00:00:00.299220,0.00032952940508099984,0.43609570175635687,COMPLETE
5,1.0843919094154126,2026-07-17 22:02:48.045539,2026-07-17 22:02:48.047584,0 days 00:00:00.002045,0.4745669949715017,0.20373137310824804,COMPLETE
6,1.1400575098598156,2026-07-17 22:02:48.047616,2026-07-17 22:02:48.049207,0 days 00:00:00.001591,1.5064662748355773,0.9737326636318065,COMPLETE
7,1.0191351356264966,2026-07-17 22:02:48.049239,2026-07-17 22:02:48.368385,0 days 00:00:00.319146,9.6173063086053e-05,0.595387265054202,COMPLETE
8,1.0191964476125375,2026-07-17 22:02:48.368441,2026-07-17 22:02:48.673276,0 days 00:00:00.304835,1.1321828864514732e-05,0.3888398569907568,COMPLETE
9,1.0191858138329233,2026-07-17 22:02:48.673310,2026-07-17 22:02:48.973891,0 days 00:00:00.300581,1.840603941042323e-05,0.9475199083599511,COMPLETE
