number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,state
0,0.884545006866563,2026-07-17 22:04:06.424923,2026-07-17 22:04:07.260767,0 days 00:00:00.835844,79.63234721775596,0.42193534890240725,0.015450018247892779,COMPLETE
1,0.8873088919375782,2026-07-17 22:04:07.260869,2026-07-17 22:04:08.914330,0 days 00:00:01.653461,13.945946057144928,0.003830178964857715,0.061789587850507394,COMPLETE
2,1.0329219145037727,2026-07-17 22:04:08.914397,2026-07-17 22:04:10.210450,0 days 00:00:01.296053,84.88351677146044,0.004817168166226401,0.00010590611107431812,COMPLETE
3,0.8921645104756475,2026-07-17 22:04:10.210591,2026-07-17 22:04:11.636080,0 days 00:00:01.425489,2.0154619208216946,0.0034162220117615527,0.13107856769680895,COMPLETE
4,1.0061088724267773,2026-07-17 22:04:11.636142,2026-07-17 22:04:13.232761,0 days 00:00:01.596619,38.81322293800887,0.002768249913357109,0.8582280578186977,COMPLETE
5,1.0645164949692687,2026-07-17 22:04:13.232833,2026-07-17 22:04:14.467825,0 days 00:00:01.234992,6.194436878055186,0.011049542492738682,0.00010862865209217387,COMPLETE
6,1.0298823269776762,2026-07-17 22:04:14.467884,2026-07-17 22:04:15.701022,0 days 00:00:01.233138,0.1356688593982541,0.015036498573411461,0.6708290647610249,COMPLETE
7,0.923042839208494,2026-07-17 22:04:15.701159,2026-07-17 22:04:16.772144,0 days 00:00:01.070985,70.29621154678125,0.21781552534677898,0.13970885834033986,COMPLETE
8,1.0998054356363767,2026-07-17 22:04:16.772203,2026-07-17 22:04:17.912165,0 days 00:00:01.139962,0.33074726717910524,0.041820246209366536,0.0001994317719857713,COMPLETE
9,0.9180016557052216,2026-07-17 22:04:17.912226,2026-07-17 22:04:19.145819,0 days 00:00:01.233593,0.3190924666187637,0.012658368286050131,0.0858065952997549,COMPLETE
