number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,state
0,0.8939038171147494,2026-07-17 22:03:55.505016,2026-07-17 22:03:56.941387,0 days 00:00:01.436371,1.7826497151386944,0.0010007110473405194,0.07608481233714794,COMPLETE
1,1.072675242650376,2026-07-17 22:03:56.941446,2026-07-17 22:03:58.183566,0 days 00:00:01.242120,0.8072307884499755,0.0017750847687815876,0.00038638794051587327,COMPLETE
2,1.031934548004934,2026-07-17 22:03:58.183620,2026-07-17 22:03:59.422397,0 days 00:00:01.238777,0.362060072574474,0.01177235938314069,0.002411253706147574,COMPLETE
3,0.9447990989914606,2026-07-17 22:03:59.422470,2026-07-17 22:04:00.610859,0 days 00:00:01.188389,4.134759007834719,0.07069470359901726,0.004750923721030617,COMPLETE
4,0.9372220914868771,2026-07-17 22:04:00.610918,2026-07-17 22:04:01.933627,0 days 00:00:01.322709,0.4105412016858891,0.0011855456805196045,0.3254391115088485,COMPLETE
5,0.9295873091449203,2026-07-17 22:04:01.933691,2026-07-17 22:04:03.302075,0 days 00:00:01.368384,10.266030035164244,0.03220231461321968,0.004668949853708897,COMPLETE
6,1.0796249785373064,2026-07-17 22:04:03.302133,2026-07-17 22:04:04.307990,0 days 00:00:01.005857,0.2637307779092461,0.1449391039224441,0.0006200203677164723,COMPLETE
7,0.9334125020608385,2026-07-17 22:04:04.308048,2026-07-17 22:04:05.732136,0 days 00:00:01.424088,80.31279258119082,0.07388528842571505,0.001793480721178979,COMPLETE
8,0.9910240892977824,2026-07-17 22:04:05.732194,2026-07-17 22:04:07.332202,0 days 00:00:01.600008,42.57625486011379,0.001696413717288784,0.3788145521097117,COMPLETE
9,1.0988028155681746,2026-07-17 22:04:07.332259,2026-07-17 22:04:08.223970,0 days 00:00:00.891711,0.13096774493777608,0.2344662169622342,0.0004778831065857704,COMPLETE
