feature_set,R2,R2_SD
A,0.4275490206042724,0.0046534654731021
A+B1,0.4522782513779832,0.01006530793365
A+B2,0.4133788914026433,0.0232349967496268
A+B3,0.4058610269834375,0.0094263694023833
A+B,0.4565715092356843,0.0161836895191101
A+C,0.3831828134387323,0.0346155543649438
A+B+C,0.4616119806048265,0.0152289125742064
