number,value,datetime_start,datetime_complete,duration,params_alpha,state
0,1.019390722432003,2026-07-17 22:03:31.040683,2026-07-17 22:03:31.043103,0 days 00:00:00.002420,4.1301841228098795,COMPLETE
1,1.020146424225072,2026-07-17 22:03:31.043150,2026-07-17 22:03:31.044709,0 days 00:00:00.001559,0.01430729035716347,COMPLETE
2,1.0201459459340603,2026-07-17 22:03:31.044739,2026-07-17 22:03:31.046272,0 days 00:00:00.001533,19.85979984885013,COMPLETE
3,1.019392382482312,2026-07-17 22:03:31.046302,2026-07-17 22:03:31.047840,0 days 00:00:00.001538,4.091988040159676,COMPLETE
4,1.0194389193061602,2026-07-17 22:03:31.047869,2026-07-17 22:03:31.049387,0 days 00:00:00.001518,3.3281800464116373,COMPLETE
5,1.0198200384387615,2026-07-17 22:03:31.049416,2026-07-17 22:03:31.050948,0 days 00:00:00.001532,0.9594203502107344,COMPLETE
6,1.0200823113912145,2026-07-17 22:03:31.050978,2026-07-17 22:03:31.052506,0 days 00:00:00.001528,0.16900198445929523,COMPLETE
7,1.021829727488113,2026-07-17 22:03:31.052535,2026-07-17 22:03:31.054054,0 days 00:00:00.001519,51.95481444645874,COMPLETE
8,1.0199180086588149,2026-07-17 22:03:31.054083,2026-07-17 22:03:31.055592,0 days 00:00:00.001509,0.6279543048780203,COMPLETE
9,1.0199956759396123,2026-07-17 22:03:31.055620,2026-07-17 22:03:31.057139,0 days 00:00:00.001519,0.39899150635423397,COMPLETE
