number,value,datetime_start,datetime_complete,duration,params_alpha,params_l1_ratio,state
0,1.0222303887688953,2026-07-17 22:02:36.448792,2026-07-17 22:02:36.480944,0 days 00:00:00.032152,0.0031778400068840666,0.7159180035733149,COMPLETE
1,1.0191984338026276,2026-07-17 22:02:36.480987,2026-07-17 22:02:36.801622,0 days 00:00:00.320635,1.0015813955858965e-05,0.306285921179203,COMPLETE
2,1.0191477617816485,2026-07-17 22:02:36.801659,2026-07-17 22:02:37.132692,0 days 00:00:00.331033,7.595132328682394e-05,0.10049182287342184,COMPLETE
3,1.0191480302384814,2026-07-17 22:02:37.132728,2026-07-17 22:02:37.464669,0 days 00:00:00.331941,0.0001310874961526334,0.3486495125021868,COMPLETE
4,1.0210834114300427,2026-07-17 22:02:37.464710,2026-07-17 22:02:37.501696,0 days 00:00:00.036986,0.00240217612024316,0.5380403993232898,COMPLETE
5,1.0222440460767943,2026-07-17 22:02:37.501729,2026-07-17 22:02:37.529351,0 days 00:00:00.027622,0.003274666571225386,0.6815151103888243,COMPLETE
6,1.0191516018003632,2026-07-17 22:02:37.529383,2026-07-17 22:02:37.867019,0 days 00:00:00.337636,0.00016854407828169375,0.8705550876631265,COMPLETE
7,1.0191914854136344,2026-07-17 22:02:37.867052,2026-07-17 22:02:38.179517,0 days 00:00:00.312465,1.4599082378876646e-05,0.6670581599748342,COMPLETE
8,1.0219687886001176,2026-07-17 22:02:38.179550,2026-07-17 22:02:38.205684,0 days 00:00:00.026134,0.0031902800949575984,0.5575160318768366,COMPLETE
9,1.019147479661931,2026-07-17 22:02:38.205717,2026-07-17 22:02:38.531461,0 days 00:00:00.325744,6.955392321661599e-05,0.20413945930318123,COMPLETE
