model_id,n_families,pairwise_accuracy,ci95_low,ci95_high,bootstrap_unit,bootstrap_replicates
chem_A_xgb,49,0.6367904063098193,0.583358585641377,0.6859857942437144,peptide family,5000
chem_site_AB_xgb,49,0.6654413063751573,0.6244375749440275,0.703430443843435,peptide family,5000
ecfp_xgb,49,0.5820847484411049,0.5437685633451402,0.6174795003228756,peptide family,5000
full_ABC_xgb,49,0.6473822972376265,0.5999239403073933,0.6918424842092719,peptide family,5000
seq_aa_xgb,49,0.5853519055248485,0.5467784197992683,0.6241739246178738,peptide family,5000
