number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.85623725505853,2026-07-17 22:02:48.698914,2026-07-17 22:02:49.936531,0 days 00:00:01.237617,15,6,6,298,COMPLETE
1,0.8485746689328544,2026-07-17 22:02:49.936599,2026-07-17 22:02:52.122878,0 days 00:00:02.186279,19,3,3,452,COMPLETE
2,0.8710688162187158,2026-07-17 22:02:52.122982,2026-07-17 22:02:52.424803,0 days 00:00:00.301821,10,5,2,73,COMPLETE
3,0.8858084671497438,2026-07-17 22:02:52.424876,2026-07-17 22:02:53.431867,0 days 00:00:01.006991,8,6,11,342,COMPLETE
4,0.8607523763327346,2026-07-17 22:02:53.431936,2026-07-17 22:02:53.698322,0 days 00:00:00.266386,13,5,5,60,COMPLETE
5,0.8488054896691326,2026-07-17 22:02:53.698391,2026-07-17 22:02:54.528728,0 days 00:00:00.830337,15,2,8,177,COMPLETE
6,0.8473029717777238,2026-07-17 22:02:54.528801,2026-07-17 22:02:55.919179,0 days 00:00:01.390378,17,3,6,295,COMPLETE
7,0.8596067617332714,2026-07-17 22:02:55.919316,2026-07-17 22:02:56.871207,0 days 00:00:00.951891,19,7,15,224,COMPLETE
8,0.849447377933013,2026-07-17 22:02:56.871283,2026-07-17 22:02:59.145665,0 days 00:00:02.274382,18,1,7,457,COMPLETE
9,0.8532153241639117,2026-07-17 22:02:59.145787,2026-07-17 22:03:00.537259,0 days 00:00:01.391472,13,3,7,344,COMPLETE
