family_id,source,model,n_historical,n_support,n_test,valid_pair_count,correct_pair_count,pairwise_accuracy,within_family_spearman
2013_CHUGAI|len=15|Lariat,2013_CHUGAI,Chemistry,7198,7,19,115,86,0.7478260869565218,0.5275742357184606
2013_CHUGAI|len=15|Lariat,2013_CHUGAI,Chemistry + Site,7198,7,19,115,85,0.7391304347826086,0.5236662784168423
2013_CHUGAI|len=15|Lariat,2013_CHUGAI,Chemistry + Site + Context,7198,7,19,115,80,0.6956521739130435,0.4582079936147371
2013_CHUGAI|len=15|Lariat,2013_CHUGAI,ECFP,7198,7,19,115,78,0.6782608695652174,0.42694433520179126
2013_CHUGAI|len=11|Circle,2013_CHUGAI,Sequence,7185,11,28,371,234,0.6307277628032345,0.3310940623506062
2013_CHUGAI|len=11|Circle,2013_CHUGAI,Chemistry,7185,11,28,371,231,0.6226415094339622,0.33717110330389044
2013_CHUGAI|len=11|Circle,2013_CHUGAI,Chemistry + Site,7185,11,28,371,247,0.6657681940700808,0.44739752893085427
2013_CHUGAI|len=11|Circle,2013_CHUGAI,Chemistry + Site + Context,7185,11,28,371,209,0.5633423180592992,0.17424667997551946
2013_CHUGAI|len=11|Circle,2013_CHUGAI,ECFP,7185,11,28,371,206,0.555256064690027,0.12054801759312668
2013_CHUGAI|len=12|Circle,2013_CHUGAI,Sequence,7209,4,11,55,37,0.6727272727272727,0.5995564622314027
2013_CHUGAI|len=12|Circle,2013_CHUGAI,Chemistry,7209,4,11,55,40,0.7272727272727273,0.630143555668568
2013_CHUGAI|len=12|Circle,2013_CHUGAI,Chemistry + Site,7209,4,11,55,34,0.6181818181818182,0.4200957037790453
2013_CHUGAI|len=12|Circle,2013_CHUGAI,Chemistry + Site + Context,7209,4,11,55,35,0.6363636363636364,0.41096318847950086
2013_CHUGAI|len=12|Circle,2013_CHUGAI,ECFP,7209,4,11,55,29,0.5272727272727272,0.11818181818181818
2013_CHUGAI|len=10|Circle,2013_CHUGAI,Sequence,7205,5,14,90,59,0.6555555555555556,0.39757709251101325
2013_CHUGAI|len=10|Circle,2013_CHUGAI,Chemistry,7205,5,14,90,72,0.8,0.7612765882773649
2013_CHUGAI|len=10|Circle,2013_CHUGAI,Chemistry + Site,7205,5,14,90,65,0.7222222222222222,0.6072610935391698
2013_CHUGAI|len=10|Circle,2013_CHUGAI,Chemistry + Site + Context,7205,5,14,90,59,0.6555555555555556,0.4114413930863215
2013_CHUGAI|len=10|Circle,2013_CHUGAI,ECFP,7205,5,14,90,61,0.6777777777777778,0.4950498045156275
2013_CHUGAI|len=9|Circle,2013_CHUGAI,Sequence,7207,5,12,65,23,0.35384615384615387,-0.31578947368421056
2013_CHUGAI|len=9|Circle,2013_CHUGAI,Chemistry,7207,5,12,65,53,0.8153846153846154,0.7986001739057147
2013_CHUGAI|len=9|Circle,2013_CHUGAI,Chemistry + Site,7207,5,12,65,46,0.7076923076923077,0.6339764538462034
