number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.8910306534438708,2026-07-17 22:04:19.405861,2026-07-17 22:04:20.233306,0 days 00:00:00.827445,0.9464734771738273,0.02390428682426169,8,9,596,5.669070564161237e-06,2.822930246072575e-05,0.7554138025988315,COMPLETE
1,0.8988499962315639,2026-07-17 22:04:20.233370,2026-07-17 22:04:20.384026,0 days 00:00:00.150656,0.8245720238073804,0.010936285681718831,6,3,146,0.011416406177374222,0.013678539280189509,0.7284166121973555,COMPLETE
2,0.8751944970657184,2026-07-17 22:04:20.384069,2026-07-17 22:04:20.529855,0 days 00:00:00.145786,0.6417625408856593,0.02174178565560961,7,7,121,0.0004392606562057817,1.2533552061476029e-05,0.7075505985050348,COMPLETE
3,0.8883571336967643,2026-07-17 22:04:20.529897,2026-07-17 22:04:21.235008,0 days 00:00:00.705111,0.6939856287778243,0.025037337591814392,9,10,590,0.7177488987687258,0.05089624371693282,0.6109789419660907,COMPLETE
4,0.9162737594897007,2026-07-17 22:04:21.235095,2026-07-17 22:04:22.429605,0 days 00:00:01.194510,0.8267054512617681,0.031029986450871728,9,6,913,0.00014770274900935133,3.761677278689523e-05,0.5461085044358621,COMPLETE
5,0.8708563157721662,2026-07-17 22:04:22.429737,2026-07-17 22:04:22.820730,0 days 00:00:00.390993,0.728843199661489,0.022401833405014056,6,9,466,0.003292436645320241,9.6475055487071e-05,0.6458963871127164,COMPLETE
6,0.86333156759525,2026-07-17 22:04:22.820818,2026-07-17 22:04:23.135732,0 days 00:00:00.314914,0.757017529908721,0.018503122315401223,6,1,350,0.0007971007065882054,0.00034295211594751894,0.6006893555215366,COMPLETE
7,0.9217778204183211,2026-07-17 22:04:23.135791,2026-07-17 22:04:23.950978,0 days 00:00:00.815187,0.6868000620744641,0.07927433746969913,8,7,737,0.00010941880911966298,0.010222499290459413,0.8445902068774571,COMPLETE
8,0.8633189728626156,2026-07-17 22:04:23.951062,2026-07-17 22:04:24.298982,0 days 00:00:00.347920,0.9858013030867838,0.012024055844249705,6,3,393,0.01408851003585174,0.03575510086290242,0.6213377110921691,COMPLETE
9,0.9139786772521498,2026-07-17 22:04:24.299095,2026-07-17 22:04:24.872569,0 days 00:00:00.573474,0.5362810689111167,0.05974168506462738,6,2,752,8.150157135647733e-06,5.0203085755131846e-06,0.5334847119664132,COMPLETE
