number,value,datetime_start,datetime_complete,duration,params_alpha,state
0,1.0212935718688396,2026-07-17 22:02:36.326422,2026-07-17 22:02:36.329449,0 days 00:00:00.003027,19.628224813442806,COMPLETE
1,1.0249504272530385,2026-07-17 22:02:36.329493,2026-07-17 22:02:36.331262,0 days 00:00:00.001769,195.49524484259877,COMPLETE
2,1.0222839041843061,2026-07-17 22:02:36.331295,2026-07-17 22:02:36.333026,0 days 00:00:00.001731,41.359973938398895,COMPLETE
3,1.0212227486810095,2026-07-17 22:02:36.333056,2026-07-17 22:02:36.334766,0 days 00:00:00.001710,18.590843630169633,COMPLETE
4,1.0196060167441308,2026-07-17 22:02:36.334796,2026-07-17 22:02:36.336501,0 days 00:00:00.001705,3.4828020870283307,COMPLETE
5,1.0231081559248065,2026-07-17 22:02:36.336531,2026-07-17 22:02:36.338224,0 days 00:00:00.001693,75.05241622349546,COMPLETE
6,1.0197206431783952,2026-07-17 22:02:36.338253,2026-07-17 22:02:36.339977,0 days 00:00:00.001724,4.222048983149829,COMPLETE
7,1.042768474534211,2026-07-17 22:02:36.340006,2026-07-17 22:02:36.341704,0 days 00:00:00.001698,2242.0123713724424,COMPLETE
8,1.0587670040792556,2026-07-17 22:02:36.341734,2026-07-17 22:02:36.343420,0 days 00:00:00.001686,6053.082080079013,COMPLETE
9,1.0193609855394572,2026-07-17 22:02:36.343451,2026-07-17 22:02:36.345159,0 days 00:00:00.001708,1.9982467392329455,COMPLETE
