number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.9812029626851092,2026-07-17 22:02:47.875129,2026-07-17 22:02:48.240871,0 days 00:00:00.365742,3,5,9,246,COMPLETE
1,0.8874912705794202,2026-07-17 22:02:48.240943,2026-07-17 22:02:48.934899,0 days 00:00:00.693956,8,7,4,239,COMPLETE
2,0.8969499422090728,2026-07-17 22:02:48.934972,2026-07-17 22:02:49.453845,0 days 00:00:00.518873,7,6,10,185,COMPLETE
3,0.866515904330745,2026-07-17 22:02:49.453929,2026-07-17 22:02:49.894807,0 days 00:00:00.440878,12,8,4,110,COMPLETE
4,0.8631856765968325,2026-07-17 22:02:49.894884,2026-07-17 22:02:51.513966,0 days 00:00:01.619082,11,1,13,435,COMPLETE
5,0.948179288768846,2026-07-17 22:02:51.514068,2026-07-17 22:02:52.050113,0 days 00:00:00.536045,4,1,7,277,COMPLETE
6,0.8572031295737983,2026-07-17 22:02:52.050175,2026-07-17 22:02:52.529007,0 days 00:00:00.478832,13,2,5,107,COMPLETE
7,0.8737433434977694,2026-07-17 22:02:52.529075,2026-07-17 22:02:53.027461,0 days 00:00:00.498386,9,3,8,149,COMPLETE
8,0.8613058973091879,2026-07-17 22:02:53.027509,2026-07-17 22:02:54.280125,0 days 00:00:01.252616,11,4,9,338,COMPLETE
9,0.8640058943081644,2026-07-17 22:02:54.280270,2026-07-17 22:02:55.850811,0 days 00:00:01.570541,13,8,4,407,COMPLETE
