number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.8755980264488494,TrialState.COMPLETE,523,7,0.057823372101469324,0.839391001523352,0.9081014232248967,8,3.0836921762204903,1.2223281335684277e-06,7.07147074546098
1,0.8824810448658287,TrialState.COMPLETE,1923,4,0.02880949684419904,0.7738159144904099,0.5744312566388841,13,0.0005606954562723793,2.3782611137290084e-07,6.857495342253381
2,0.8342991658771675,TrialState.COMPLETE,1256,5,0.02542147039345685,0.6965908541562909,0.986734109399189,5,0.0029317246104757087,0.004993891630790413,1.7274808083901638
3,0.8368039951280613,TrialState.COMPLETE,793,5,0.015987140258197998,0.5138624761412021,0.7764086670870611,9,1.1976702859115494e-06,0.23359233175562633,0.552470907694047
4,0.8529168005379202,TrialState.COMPLETE,408,5,0.14894769561090973,0.5619972710763794,0.6007410976369605,18,1.5588974807377523e-07,0.04569250391210376,1.4252909954396054
5,0.8790324582330681,TrialState.COMPLETE,828,6,0.19994764628913153,0.6036620621785779,0.9095634376017883,13,3.0452050383922535,0.6193770277962127,6.369906040691715
6,0.8723551752924491,TrialState.COMPLETE,1474,9,0.17989161822203084,0.8424810228405717,0.8646568553732326,4,5.235531911913518e-07,0.0013672027157912406,8.803731246027274
7,0.8829189641853,TrialState.COMPLETE,1756,7,0.06267963181153312,0.5232498848579583,0.8706886862453912,8,2.540689875259162e-06,2.843783073027625e-06,9.23556212043475
8,0.9049399171439226,TrialState.COMPLETE,212,2,0.11279965537714394,0.5625559213720586,0.6617681949342156,5,2.1124884779060086e-06,0.0004285607538651947,9.287452764565005
9,0.8914834007143415,TrialState.COMPLETE,576,10,0.15809251341443467,0.5337585057556201,0.8475111486548645,12,0.000721968397909628,6.988846801170005e-07,8.99024806466279
10,0.9435052377601177,TrialState.COMPLETE,1246,2,0.005181407522916723,0.9766189034745705,0.9785539161301734,19,0.012336405737270335,71.82649295603221,3.135192890594981
11,0.8337256594158445,TrialState.COMPLETE,1068,4,0.015100143302865632,0.677856069238312,0.7445712962621758,1,7.712698662360639e-05,0.31504618984817445,0.08044311920550934
12,0.8494974747447798,TrialState.COMPLETE,1163,4,0.016222834730979654,0.6694995040611449,0.7295452337949817,1,0.00021974437634029935,0.001005272997144675,2.6522357868222906
13,0.8838200498428674,TrialState.COMPLETE,1115,3,0.009870901867658453,0.677940175317308,0.5102151453070654,1,0.04195166016989619,39.123340449371774,3.551128006383489
14,0.8306294989417614,TrialState.COMPLETE,1501,7,0.027979359413605066,0.7409247170918856,0.7597578959822396,4,3.74461838238072e-05,5.775586263951211e-05,0.11741962304903897
15,0.8337558923949535,TrialState.COMPLETE,1622,8,0.0348549284968568,0.7582021594218109,0.7397261815631588,3,3.9397502606007644e-05,4.558863186444131e-05,0.08375126463004491
16,0.8350626492917752,TrialState.COMPLETE,1410,7,0.007908862811562814,0.7544360927921917,0.7859949123005594,1,1.710122573687983e-08,4.596892705218407e-08,1.3938437976253848
17,0.8384962575938251,TrialState.COMPLETE,876,10,0.017795996507424628,0.8619110471758178,0.6813631426331562,6,3.592881359525355e-05,2.88913944815723e-05,0.09129249634742968
18,0.8553706727684632,TrialState.COMPLETE,981,8,0.040461593987918064,0.6233546922238694,0.6670356172965412,3,2.506074153633093e-05,3.3818404005434135,4.487886243152605
19,0.860212815697991,TrialState.COMPLETE,1509,3,0.05726500569627113,0.9092739347049335,0.782709807641136,10,0.03302918641259349,0.035772907529173344,2.244385610762873
20,0.849125679478978,TrialState.COMPLETE,1944,6,0.011432540633738468,0.7169992723981133,0.8235555227744885,6,8.455824784363695e-06,1.8557863985806596e-08,3.9729062171825276
21,0.838472903015688,TrialState.COMPLETE,1649,8,0.026027523760167082,0.7876658755673607,0.7433823623970363,3,7.72256530589947e-05,0.0001208650474466979,0.6670734178083702
22,0.8434456497710268,TrialState.COMPLETE,1711,9,0.03631488504764715,0.6350790138383734,0.7146070180729098,3,1.5117707848598396e-05,2.8835834123027577e-05,0.037918064394944634
23,0.8456767901665773,TrialState.COMPLETE,1599,8,0.08404251533072149,0.741040024013921,0.6268050358419284,3,0.0001588249025663461,1.0135126192520579e-05,1.1213787992522792
24,0.8489182136079458,TrialState.COMPLETE,1356,9,0.020004498703486192,0.8034564712860284,0.697133668178836,1,0.002146381962511716,0.01956987076792795,2.3413013219383343
25,0.8291404928059138,TrialState.COMPLETE,977,6,0.03889744281516921,0.7227696936649779,0.7626503922552814,6,0.337020583036543,5.595005938753181,0.8017737558876623
26,0.8321836076653082,TrialState.COMPLETE,1003,6,0.04621318898567514,0.6519937771075112,0.8123781627367681,7,0.3210232481050858,6.889977182408901,1.0622354432762595
27,0.8337319988993314,TrialState.COMPLETE,707,6,0.04790505737410479,0.7138908815170363,0.8176384649448184,7,0.4640506979410257,6.606309309943926,1.8899234866536316
28,0.8336758302878596,TrialState.COMPLETE,938,6,0.11012658884725311,0.6453688996745156,0.9024461279168075,11,0.20379910245098543,3.7332983261706056,0.9980936552554502
29,0.8655524684733861,TrialState.COMPLETE,645,7,0.07163707077671984,0.5984936778386633,0.9432917436480396,16,9.266501374969216,15.90795840318177,2.7264067250459796
30,0.8544944672620394,TrialState.COMPLETE,495,7,0.04648371790236706,0.8050607829796554,0.8092945309803941,8,0.47179695423831924,1.0785517231381998,4.627745663476686
31,0.8476349183496442,TrialState.COMPLETE,965,6,0.10355125664962529,0.6424496839500681,0.9069354819795434,11,0.2864332283667751,3.954596551611073,0.9428465551860274
32,0.830883278623652,TrialState.COMPLETE,915,6,0.022570834397324522,0.7292904030405482,0.9001926975932285,15,0.10115546290883981,0.1188217446186296,0.8263601225727668
33,0.839731384366335,TrialState.COMPLETE,1246,5,0.028398911823158277,0.7326064270188418,0.7745965706013684,15,1.8431215223440294,0.11484319761070448,1.7398458233512915
34,0.8345904412306238,TrialState.COMPLETE,731,5,0.02039705003495861,0.710460008361506,0.8459775449839053,15,0.04923746270129906,13.881895137306158,0.6493935153086552
35,0.8374087581138501,TrialState.COMPLETE,1054,7,0.023061596335707868,0.7788632423325129,0.9388644904167321,9,0.004660259501023163,0.007308180435621398,1.783541212401855
36,0.8336686021471018,TrialState.COMPLETE,1334,6,0.031246202445143628,0.6896888345760291,0.8873760577521181,5,0.10913862620889979,1.6055773910515345,0.6590810099014545
37,0.8409125344509093,TrialState.COMPLETE,842,5,0.05186090273631433,0.8163494323267848,0.7742818892188083,17,0.9238957572000194,0.14998147740645765,1.392005016854902
38,0.9041087108312084,TrialState.COMPLETE,1817,5,0.03971858583639626,0.8790647829886322,0.8150078020950263,7,0.014255655614006262,88.45506335538472,7.8264884450225605
39,0.868291148550712,TrialState.COMPLETE,426,4,0.013289937142947033,0.5956003526659905,0.94352880485622,9,5.56568438494559,0.005183999130151306,1.8890542009714866
40,0.8739590880073069,TrialState.COMPLETE,266,6,0.07406164372972633,0.660552539935597,0.6403185702738596,13,1.6156550714468085,0.5033384969092736,5.745582491747104
41,0.8268903198382558,TrialState.COMPLETE,1366,6,0.03153513929524102,0.7036058240760443,0.8815522829006001,4,0.08185295790551468,20.577442776593642,0.6254945255144477
42,0.8280582519693439,TrialState.COMPLETE,1171,7,0.031775700814694316,0.7338883391375985,0.8485617332308368,5,0.10034274851576389,16.767923243383517,0.41644658547641156
43,0.8288029441266243,TrialState.COMPLETE,1164,7,0.0318827594536446,0.7629134947888254,0.8776548603025628,20,0.09484361330563369,17.19000966404904,0.4918499737817332
44,0.8285785854662826,TrialState.COMPLETE,1182,7,0.032010581246801256,0.7611553368594828,0.8561637267253148,20,0.009687708892821738,32.58545286591117,0.2967991040239055
45,0.8300518080737009,TrialState.COMPLETE,1181,7,0.03348266744064241,0.8271833064518013,0.8497865513491705,19,0.009597592415564427,26.531923863536036,0.45045757355227667
46,0.8421359703846786,TrialState.COMPLETE,1312,8,0.0404412600129122,0.7656791562197385,0.8666635086964856,20,0.001175332326124112,99.33771693942259,1.5107284104613927
47,0.8306837767429787,TrialState.COMPLETE,1185,7,0.024786994119345145,0.7888720034896398,0.9847858974637558,20,0.0252248620678961,21.761442698402405,0.4638458087730316
48,0.8345709654785715,TrialState.COMPLETE,1102,7,0.030406199453699122,0.695446399452828,0.9270350370612096,18,0.005697756984077711,1.403737911454295,1.216015434337648
49,0.8478843401565603,TrialState.COMPLETE,1444,8,0.059536703968498146,0.8558484262191381,0.8544988274711011,18,0.10112849258782611,32.9491852123397,2.256126577469426
