cutoff,sample_id,max_tanimoto,mean_top5_tanimoto
2017,CYCPEPTMPDB_PAMPA_002711,0.5692307692307692,0.5604050261512948
2017,CYCPEPTMPDB_PAMPA_002437,0.8421052631578947,0.7882104326859272
2017,CYCPEPTMPDB_PAMPA_007098,0.48863636363636365,0.48863636363636365
2017,CYCPEPTMPDB_PAMPA_003780,0.6551724137931034,0.6463709743698121
2017,CYCPEPTMPDB_PAMPA_001922,0.7777777777777778,0.7777777777777778
2017,CYCPEPTMPDB_PAMPA_005595,0.42857142857142855,0.4245010820136944
2017,CYCPEPTMPDB_PAMPA_005253,0.44329896907216493,0.43892957798709487
2017,CYCPEPTMPDB_PAMPA_006722,0.6491228070175439,0.6210526315789474
2017,CYCPEPTMPDB_PAMPA_004763,0.7662337662337663,0.7383200783470928
2017,CYCPEPTMPDB_PAMPA_002423,0.6585365853658537,0.6506779732169095
2017,CYCPEPTMPDB_PAMPA_002681,0.6666666666666666,0.6435927947760639
2017,CYCPEPTMPDB_PAMPA_003237,0.8166666666666667,0.7638252178023908
2017,CYCPEPTMPDB_PAMPA_002353,0.8421052631578947,0.7882104326859272
2017,CYCPEPTMPDB_PAMPA_005788,0.43434343434343436,0.4274516594516594
2017,CYCPEPTMPDB_PAMPA_006776,0.6176470588235294,0.6166982922201139
2017,CYCPEPTMPDB_PAMPA_006418,0.4883720930232558,0.4828343079570745
2017,CYCPEPTMPDB_PAMPA_004652,0.7848101265822784,0.7347842174272656
2017,CYCPEPTMPDB_PAMPA_005919,0.42857142857142855,0.4245010820136944
2017,CYCPEPTMPDB_PAMPA_004760,0.75,0.75
2017,CYCPEPTMPDB_PAMPA_006270,0.4883720930232558,0.4883720930232558
2017,CYCPEPTMPDB_PAMPA_003667,0.6621621621621622,0.6411069606191557
2017,CYCPEPTMPDB_PAMPA_004465,0.7049180327868853,0.6773017897446303
2017,CYCPEPTMPDB_PAMPA_002446,0.8421052631578947,0.7882104326859272
2017,CYCPEPTMPDB_PAMPA_005474,0.4044943820224719,0.3928361738235223
2017,CYCPEPTMPDB_PAMPA_002443,0.7833333333333333,0.7351771233461374
2017,CYCPEPTMPDB_PAMPA_006278,0.47674418604651164,0.4713382530057156
2017,CYCPEPTMPDB_PAMPA_006045,0.4329896907216495,0.4291788733961284
2017,CYCPEPTMPDB_PAMPA_004114,0.6395348837209303,0.6366921639274773
2017,CYCPEPTMPDB_PAMPA_005373,0.4329896907216495,0.4291788733961284
2017,CYCPEPTMPDB_PAMPA_003902,0.7866666666666666,0.757414085914086
2017,CYCPEPTMPDB_PAMPA_005665,0.43434343434343436,0.4274516594516594
2017,CYCPEPTMPDB_PAMPA_005480,0.4387755102040816,0.43414685461813585
2017,CYCPEPTMPDB_PAMPA_003178,0.7681159420289855,0.7336610187553283
2017,CYCPEPTMPDB_PAMPA_005192,0.42857142857142855,0.4245010820136944
2017,CYCPEPTMPDB_PAMPA_002727,0.7611940298507462,0.7388286677213014
2017,CYCPEPTMPDB_PAMPA_002352,0.7833333333333333,0.7351771233461374
2017,CYCPEPTMPDB_PAMPA_003255,0.8275862068965517,0.771181775849815
2017,CYCPEPTMPDB_PAMPA_004416,0.7536231884057971,0.7202401250355214
2017,CYCPEPTMPDB_PAMPA_003706,0.7391304347826086,0.7169457106124357
