cutoff,train_n,test_n,train_sequences,test_sequences,test_families,median_max_tanimoto,iqr_max_tanimoto,model,spearman,ci95_low,ci95_high
2016,1041,3092,858,356,49,0.6097560975609756,0.2594037336305378,Chemistry,-0.0190958007860081,-0.172886736590909,0.2024657618057945
2016,1041,3092,858,356,49,0.6097560975609756,0.2594037336305378,Chemistry + Site,0.0096320538525545,-0.1554877916393967,0.1993324179876557
2016,1041,3092,858,356,49,0.6097560975609756,0.2594037336305378,Chemistry + Site + Context,0.0310516568756479,-0.1074486707848791,0.2918283768504298
2016,1041,3092,858,356,49,0.6097560975609756,0.2594037336305378,ECFP,0.3727644994526725,0.1079658389156145,0.4709196155446848
2016,1041,3092,858,356,49,0.6097560975609756,0.2594037336305378,RDKit,0.0109591144421558,-0.1952136670745836,0.2441639624020207
2016,1041,3092,858,356,49,0.6097560975609756,0.2594037336305378,Sequence,-0.134223525550458,-0.2043457538371779,-0.0176662041223921
2017,1759,2733,886,318,41,0.6626506024096386,0.2863636363636364,Chemistry,0.0344382481073136,-0.2052061376275028,0.3117849581176262
2017,1759,2733,886,318,41,0.6626506024096386,0.2863636363636364,Chemistry + Site,0.0147028727780366,-0.1606804705711103,0.3493848991614945
2017,1759,2733,886,318,41,0.6626506024096386,0.2863636363636364,Chemistry + Site + Context,0.1814051089175907,-0.0825866298304782,0.348685678585569
2017,1759,2733,886,318,41,0.6626506024096386,0.2863636363636364,ECFP,0.3503920100405525,-0.0610945143357305,0.4593553157435266
2017,1759,2733,886,318,41,0.6626506024096386,0.2863636363636364,RDKit,0.0638321891756622,-0.2386332047040944,0.3298104239654307
2017,1759,2733,886,318,41,0.6626506024096386,0.2863636363636364,Sequence,-0.1853387147336831,-0.4021626122314552,-0.0481785565299668
2018,1780,2722,907,301,40,0.6615384615384615,0.2874451273046532,Chemistry,-0.0097985237054184,-0.2512828799175876,0.2566971561150284
2018,1780,2722,907,301,40,0.6615384615384615,0.2874451273046532,Chemistry + Site,0.0994164480455123,-0.1154710333831103,0.3062788985510136
2018,1780,2722,907,301,40,0.6615384615384615,0.2874451273046532,Chemistry + Site + Context,0.2138868288029581,-0.0699459136801542,0.4084465361289062
2018,1780,2722,907,301,40,0.6615384615384615,0.2874451273046532,ECFP,0.4001192238263287,-0.0436967663451879,0.4638874237716351
2018,1780,2722,907,301,40,0.6615384615384615,0.2874451273046532,RDKit,0.0839990199035111,-0.2047189412138514,0.3522047905717161
2018,1780,2722,907,301,40,0.6615384615384615,0.2874451273046532,Sequence,-0.1652028953212905,-0.3464405012424638,-0.0403671600804055
2019,1881,2672,948,279,32,0.7027027027027027,0.2564935064935065,Chemistry,-0.0010686160429132,-0.2404552415643124,0.2864342339492622
2019,1881,2672,948,279,32,0.7027027027027027,0.2564935064935065,Chemistry + Site,0.1185158601767066,-0.0892849648638275,0.2961649417951983
2019,1881,2672,948,279,32,0.7027027027027027,0.2564935064935065,Chemistry + Site + Context,0.2660805974968412,0.0039967104672024,0.380299990737254
2019,1881,2672,948,279,32,0.7027027027027027,0.2564935064935065,ECFP,0.4010126438376323,0.0333180336656616,0.4846821638020648
2019,1881,2672,948,279,32,0.7027027027027027,0.2564935064935065,RDKit,0.0238364124367795,-0.211209163587642,0.3265473358205952
2019,1881,2672,948,279,32,0.7027027027027027,0.2564935064935065,Sequence,-0.0568512320540334,-0.2463003722853049,0.031153288040424
2020,1889,2668,949,274,32,0.7058823529411765,0.2546082949308755,Chemistry,-0.0175349225284663,-0.2796864754906082,0.2751232119075659
2020,1889,2668,949,274,32,0.7058823529411765,0.2546082949308755,Chemistry + Site,0.1769370614002033,-0.0691648537886067,0.3359389538213069
2020,1889,2668,949,274,32,0.7058823529411765,0.2546082949308755,Chemistry + Site + Context,0.3022812469802763,0.0856485793191862,0.423951520988429
2020,1889,2668,949,274,32,0.7058823529411765,0.2546082949308755,ECFP,0.4294679922344765,0.1003185283408007,0.5237445621077059
2020,1889,2668,949,274,32,0.7058823529411765,0.2546082949308755,RDKit,0.0974260307694511,-0.1401803330107175,0.398889281891943
2020,1889,2668,949,274,32,0.7058823529411765,0.2546082949308755,Sequence,-0.0053874079618911,-0.1487259522016066,0.0767846918349725
2021,5049,1088,1040,189,26,0.524390243902439,0.1073804244535951,Chemistry,-0.1369045644150838,-0.3827194432272506,0.1042182751306951
2021,5049,1088,1040,189,26,0.524390243902439,0.1073804244535951,Chemistry + Site,0.0450214066389808,-0.2428289997051677,0.3069617225797558
2021,5049,1088,1040,189,26,0.524390243902439,0.1073804244535951,Chemistry + Site + Context,0.0123646846583619,-0.2563841036455089,0.2063835373288278
