cutoff,median_max_tanimoto,iqr_max_tanimoto,mean_max_tanimoto,fraction_below_0_3,fraction_below_0_5,fraction_above_0_7
2016,0.6097560975609756,0.2594037336305378,0.5838950360421761,0.0003234152652005175,0.3832470892626132,0.2516170763260026
2017,0.6626506024096386,0.2863636363636364,0.6251356040172932,0.00036589828027808267,0.31613611416026344,0.40285400658616904
2018,0.6615384615384615,0.28744512730465327,0.6228951770640665,0.0,0.32108743570903747,0.3952975753122704
2019,0.7027027027027027,0.25649350649350655,0.6768069979719571,0.0,0.1347305389221557,0.501122754491018
2020,0.7058823529411765,0.25460829493087556,0.6762901889162161,0.0,0.1323088455772114,0.5044977511244377
2021,0.524390243902439,0.10738042445359519,0.5479640301786773,0.0,0.27849264705882354,0.07536764705882353
2022,0.5952380952380952,0.14319620253164556,0.6239739105605616,0.0035587188612099642,0.17437722419928825,0.23843416370106763
2023,0.575,0.07396149949341435,0.5777445319203122,0.0,0.24260355029585798,0.10059171597633136
