number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,state
0,0.8533894117189144,2026-07-17 22:03:12.073105,2026-07-17 22:03:12.954497,0 days 00:00:00.881392,79.63234721775596,0.42193534890240725,0.015450018247892779,COMPLETE
1,0.8521100503801082,2026-07-17 22:03:12.954557,2026-07-17 22:03:14.789596,0 days 00:00:01.835039,13.945946057144928,0.003830178964857715,0.061789587850507394,COMPLETE
2,1.032420344583457,2026-07-17 22:03:14.789659,2026-07-17 22:03:16.323578,0 days 00:00:01.533919,84.88351677146044,0.004817168166226401,0.00010590611107431812,COMPLETE
3,0.8792942038330006,2026-07-17 22:03:16.323654,2026-07-17 22:03:18.074036,0 days 00:00:01.750382,2.0154619208216946,0.0034162220117615527,0.13107856769680895,COMPLETE
4,1.1300173402677485,2026-07-17 22:03:18.074096,2026-07-17 22:03:20.125104,0 days 00:00:02.051008,38.81322293800887,0.002768249913357109,0.8582280578186977,COMPLETE
5,1.0628517873479213,2026-07-17 22:03:20.125169,2026-07-17 22:03:21.549146,0 days 00:00:01.423977,6.194436878055186,0.011049542492738682,0.00010862865209217387,COMPLETE
6,1.0647356006834754,2026-07-17 22:03:21.549211,2026-07-17 22:03:22.996138,0 days 00:00:01.446927,0.1356688593982541,0.015036498573411461,0.6708290647610249,COMPLETE
7,0.9213562957517357,2026-07-17 22:03:22.996202,2026-07-17 22:03:24.342332,0 days 00:00:01.346130,70.29621154678125,0.21781552534677898,0.13970885834033986,COMPLETE
8,1.0968113718074344,2026-07-17 22:03:24.342396,2026-07-17 22:03:25.688264,0 days 00:00:01.345868,0.33074726717910524,0.041820246209366536,0.0001994317719857713,COMPLETE
9,0.9235693419741323,2026-07-17 22:03:25.688336,2026-07-17 22:03:27.149981,0 days 00:00:01.461645,0.3190924666187637,0.012658368286050131,0.0858065952997549,COMPLETE
