family_id,pairwise_accuracy_AB,pairwise_accuracy_A,difference
2006_Rezai_1|len=6|Circle,0.3636363636363636,0.4545454545454545,-0.0909090909090908
2013_CHUGAI|len=13|Lariat,0.7663369304556354,0.7843225419664268,-0.0179856115107913
2013_CHUGAI|len=12|Lariat,0.7084161696487741,0.7125027612105147,-0.0040865915617406
2013_CHUGAI|len=11|Lariat,0.7722019464720195,0.7916666666666666,-0.0194647201946471
2013_CHUGAI|len=10|Lariat,0.6273764258555133,0.6790874524714829,-0.0517110266159696
2013_CHUGAI|len=14|Lariat,0.7738570113531759,0.7750843817121816,-0.0012273703590057
2013_CHUGAI|len=9|Lariat,0.6228813559322034,0.6207627118644068,0.0021186440677966
2013_CHUGAI|len=8|Lariat,0.7761904761904762,0.638095238095238,0.1380952380952381
2013_CHUGAI|len=15|Lariat,0.7391304347826086,0.7478260869565218,-0.0086956521739131
2013_CHUGAI|len=11|Circle,0.6657681940700808,0.6226415094339622,0.0431266846361185
2013_CHUGAI|len=12|Circle,0.6181818181818182,0.7272727272727273,-0.1090909090909091
2013_CHUGAI|len=10|Circle,0.7222222222222222,0.8,-0.0777777777777778
2013_CHUGAI|len=9|Circle,0.7076923076923077,0.8153846153846154,-0.1076923076923076
2015_Ahlbach|len=11|Circle,0.0,0.1111111111111111,-0.1111111111111111
2015_Ahlbach|len=6|Circle,0.6222222222222222,0.7111111111111111,-0.0888888888888889
2015_Bockus_1|len=6|Circle,0.6078431372549019,0.392156862745098,0.2156862745098039
2015_Bockus_2|len=6|Circle,0.5692307692307692,0.5384615384615384,0.0307692307692307
2015_Marelli|len=6|Circle,0.6,0.55,0.0499999999999999
2015_Wang|len=6|Circle,0.7003405221339387,0.6674233825198638,0.0329171396140749
2016_Hickey|len=5|Circle,0.6481481481481481,0.7777777777777778,-0.1296296296296296
2017_Pye|len=8|Circle,0.7727272727272727,0.9545454545454546,-0.1818181818181818
2016_Furukawa|len=6|Circle,0.6823734125163402,0.7288097443577779,-0.0464363318414376
2018_Naylor|len=6|Circle,0.7223021582733813,0.7712230215827338,-0.0489208633093525
2018_Naylor|len=11|Circle,0.7333333333333333,0.6666666666666666,0.0666666666666666
2018_Naylor|len=7|Circle,0.8,0.8666666666666667,-0.0666666666666666
2018_Ramalho|len=8|Circle,,,
2019_Ono|len=6|Circle,0.5,0.7,-0.1999999999999999
2020_Barlow|len=5|Circle,0.8881118881118881,0.8531468531468531,0.034965034965035
2020_Furukawa|len=10|Circle,0.4707692307692308,0.5046153846153846,-0.0338461538461538
2020_Hosono|len=6|Circle,0.5185185185185185,0.6666666666666666,-0.1481481481481481
2020_Townsend|len=6|Circle,0.7437319426525902,0.7598531790016899,-0.0161212363490996
2020_Townsend|len=7|Circle,0.6725443649797642,0.6687754207176013,0.0037689442621628
2021_Comeau|len=4|Circle,0.6736111111111112,0.5277777777777778,0.1458333333333333
2021_Golosov|len=6|Circle,0.7011494252873564,0.7126436781609196,-0.0114942528735632
2021_Wang|len=10|Circle,0.704,0.736,-0.032
2022_Bhardwaj|len=6|Circle,0.6190476190476191,0.8095238095238095,-0.1904761904761904
2022_Bhardwaj|len=8|Circle,0.5904761904761905,0.5380952380952381,0.0523809523809524
2021_Kelly|len=10|Lariat,0.6747737054029945,0.6559789040482478,0.0187948013547467
2022_Bhardwaj|len=9|Circle,0.5912408759124088,0.6131386861313869,-0.021897810218978
2022_Bhardwaj|len=10|Circle,0.697986577181208,0.6073825503355704,0.0906040268456376
2022_Bhardwaj|len=11|Circle,0.6615384615384615,0.6153846153846154,0.0461538461538461
2022_Lee|len=11|Circle,0.3615384615384615,0.3769230769230769,-0.0153846153846154
2022_Taechalertpaisarn|len=6|Circle,0.7609022556390977,0.7097744360902256,0.0511278195488721
2023_Ghosh|len=6|Circle,0.7912087912087912,0.7472527472527473,0.0439560439560439
2023_Ghosh|len=7|Circle,0.5555555555555556,0.4444444444444444,0.1111111111111111
2023_Ghosh|len=8|Circle,0.6,0.6666666666666666,-0.0666666666666666
2024_Faris|len=9|Circle,0.5357468123861566,0.5451578627808136,-0.0094110503946569
2024_Koch|len=9|Circle,0.6287339971550497,0.5163584637268848,0.1123755334281649
2024_Otani|len=5|Circle,0.2,0.4,-0.2
