estimator,A,B,C,A+B,A+C,B+C,A+B+C
Ridge,0.1074655181129552,0.1435410153165627,0.1438456362998439,0.1719225468506617,0.1816554326772725,0.1795364578260623,0.1771948701794536
ElasticNet,0.1073688806905406,0.1436586981852088,0.1438162654050125,0.1702139627735629,0.1804099311608565,0.1787581197555566,0.1785058787300049
RBF-SVR,0.369225056612536,0.2697486724024592,0.1751653795037882,0.4158784023998758,0.3744099344284016,0.336250711824036,0.3864843264801928
Random Forest,0.4088452338569556,0.3236363171015455,0.2661854464070847,0.4428835603589047,0.4101770218997672,0.3979348059712382,0.4621189472355578
XGBoost,0.4291417697034777,0.3214704932193744,0.275410552229889,0.4557635503237945,0.4288512575770802,0.3861342091019292,0.4607371544491673
