cutoff,model,metric,estimate,ci95_low,ci95_high,bootstrap_unit,replicates,bootstrap_seed
2016,Chemistry,spearman,-0.0190958007860081,-0.172886736590909,0.2024657618057945,peptide family,2000,20260717
2016,Chemistry + Site,spearman,0.0096320538525545,-0.1554877916393967,0.1993324179876557,peptide family,2000,20260717
2016,Chemistry + Site + Context,spearman,0.0310516568756479,-0.1074486707848791,0.2918283768504298,peptide family,2000,20260717
2016,ECFP,spearman,0.3727644994526725,0.1079658389156145,0.4709196155446848,peptide family,2000,20260717
2016,RDKit,spearman,0.0109591144421558,-0.1952136670745836,0.2441639624020207,peptide family,2000,20260717
2016,Sequence,spearman,-0.134223525550458,-0.2043457538371779,-0.0176662041223921,peptide family,2000,20260717
2017,Chemistry,spearman,0.0344382481073136,-0.2052061376275028,0.3117849581176262,peptide family,2000,20260717
2017,Chemistry + Site,spearman,0.0147028727780366,-0.1606804705711103,0.3493848991614945,peptide family,2000,20260717
2017,Chemistry + Site + Context,spearman,0.1814051089175907,-0.0825866298304782,0.348685678585569,peptide family,2000,20260717
2017,ECFP,spearman,0.3503920100405525,-0.0610945143357305,0.4593553157435266,peptide family,2000,20260717
2017,RDKit,spearman,0.0638321891756622,-0.2386332047040944,0.3298104239654307,peptide family,2000,20260717
2017,Sequence,spearman,-0.1853387147336831,-0.4021626122314552,-0.0481785565299668,peptide family,2000,20260717
2018,Chemistry,spearman,-0.0097985237054184,-0.2512828799175876,0.2566971561150284,peptide family,2000,20260717
2018,Chemistry + Site,spearman,0.0994164480455123,-0.1154710333831103,0.3062788985510136,peptide family,2000,20260717
2018,Chemistry + Site + Context,spearman,0.2138868288029581,-0.0699459136801542,0.4084465361289062,peptide family,2000,20260717
2018,ECFP,spearman,0.4001192238263287,-0.0436967663451879,0.4638874237716351,peptide family,2000,20260717
2018,RDKit,spearman,0.0839990199035111,-0.2047189412138514,0.3522047905717161,peptide family,2000,20260717
2018,Sequence,spearman,-0.1652028953212905,-0.3464405012424638,-0.0403671600804055,peptide family,2000,20260717
2019,Chemistry,spearman,-0.0010686160429132,-0.2404552415643124,0.2864342339492622,peptide family,2000,20260717
2019,Chemistry + Site,spearman,0.1185158601767066,-0.0892849648638275,0.2961649417951983,peptide family,2000,20260717
2019,Chemistry + Site + Context,spearman,0.2660805974968412,0.0039967104672024,0.380299990737254,peptide family,2000,20260717
2019,ECFP,spearman,0.4010126438376323,0.0333180336656616,0.4846821638020648,peptide family,2000,20260717
2019,RDKit,spearman,0.0238364124367795,-0.211209163587642,0.3265473358205952,peptide family,2000,20260717
2019,Sequence,spearman,-0.0568512320540334,-0.2463003722853049,0.031153288040424,peptide family,2000,20260717
2020,Chemistry,spearman,-0.0175349225284663,-0.2796864754906082,0.2751232119075659,peptide family,2000,20260717
2020,Chemistry + Site,spearman,0.1769370614002033,-0.0691648537886067,0.3359389538213069,peptide family,2000,20260717
2020,Chemistry + Site + Context,spearman,0.3022812469802763,0.0856485793191862,0.423951520988429,peptide family,2000,20260717
2020,ECFP,spearman,0.4294679922344765,0.1003185283408007,0.5237445621077059,peptide family,2000,20260717
2020,RDKit,spearman,0.0974260307694511,-0.1401803330107175,0.398889281891943,peptide family,2000,20260717
2020,Sequence,spearman,-0.0053874079618911,-0.1487259522016066,0.0767846918349725,peptide family,2000,20260717
2021,Chemistry,spearman,-0.1369045644150838,-0.3827194432272506,0.1042182751306951,peptide family,2000,20260717
2021,Chemistry + Site,spearman,0.0450214066389808,-0.2428289997051677,0.3069617225797558,peptide family,2000,20260717
2021,Chemistry + Site + Context,spearman,0.0123646846583619,-0.2563841036455089,0.2063835373288278,peptide family,2000,20260717
2021,ECFP,spearman,0.3985728071476547,-0.1419812929500226,0.4555409342844426,peptide family,2000,20260717
2021,RDKit,spearman,0.2637759691367805,-0.3991308048837441,0.3750482725506067,peptide family,2000,20260717
2021,Sequence,spearman,-0.2006528067465439,-0.3603523410540227,0.0419969091006431,peptide family,2000,20260717
2022,Chemistry,spearman,-0.2376705317119115,-0.3162774623198174,0.2159647259666601,peptide family,2000,20260717
2022,Chemistry + Site,spearman,-0.0391322204823354,-0.1378675057664209,0.3811673012889173,peptide family,2000,20260717
2022,Chemistry + Site + Context,spearman,0.0100928533901215,-0.1051666768425413,0.3850585786259683,peptide family,2000,20260717
2022,ECFP,spearman,0.0273247790608788,-0.1696784521945797,0.5354071658616821,peptide family,2000,20260717
2022,RDKit,spearman,-0.1625709860199148,-0.3351414792616881,0.2999727447722509,peptide family,2000,20260717
2022,Sequence,spearman,-0.1719586219268477,-0.3669992606394359,0.3220264253786125,peptide family,2000,20260717
2023,Chemistry,spearman,-0.1304701735924136,-0.289213137017656,0.6939241945908285,peptide family,2000,20260717
2023,Chemistry + Site,spearman,0.0973764279058295,-0.0042182862035261,0.6659768795711046,peptide family,2000,20260717
2023,Chemistry + Site + Context,spearman,0.1130458498925479,0.0289327328872852,0.7051601177594597,peptide family,2000,20260717
2023,ECFP,spearman,-0.0282830750586908,-0.409217689286375,0.8220709464460473,peptide family,2000,20260717
2023,RDKit,spearman,-0.2469575277635412,-0.5112929255929434,0.4515696310140925,peptide family,2000,20260717
2023,Sequence,spearman,-0.2087630177780995,-0.4410649216187304,0.4774882240776313,peptide family,2000,20260717
