number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,state
0,0.8601031818633235,2026-07-17 22:03:08.237679,2026-07-17 22:03:09.982798,0 days 00:00:01.745119,4.491523825137997,0.006097378631749905,0.06801289958688554,COMPLETE
1,0.9202132098365646,2026-07-17 22:03:09.982860,2026-07-17 22:03:11.086045,0 days 00:00:01.103185,3.407868400892514,0.2624630444427533,0.3730678440610188,COMPLETE
2,1.0791215099492086,2026-07-17 22:03:11.086104,2026-07-17 22:03:12.507670,0 days 00:00:01.421566,0.23809810087779443,0.001376919143130111,0.0006744837836372601,COMPLETE
3,1.0721539204102561,2026-07-17 22:03:12.507738,2026-07-17 22:03:13.912217,0 days 00:00:01.404479,2.1010168283379804,0.017099332983786086,0.0001316754597881999,COMPLETE
4,0.9653892820893839,2026-07-17 22:03:13.912278,2026-07-17 22:03:15.378116,0 days 00:00:01.465838,8.859967786158752,0.06686389868358966,0.0013000172966060339,COMPLETE
5,1.0607957144670515,2026-07-17 22:03:15.378181,2026-07-17 22:03:16.767258,0 days 00:00:01.389077,5.923637206170252,0.03223520380004599,0.000124717538137924,COMPLETE
6,0.9885852108612085,2026-07-17 22:03:16.767323,2026-07-17 22:03:18.233315,0 days 00:00:01.465992,0.5994560404174372,0.005824057997937387,0.004575144213391389,COMPLETE
7,0.8835199798203754,2026-07-17 22:03:18.233381,2026-07-17 22:03:20.148955,0 days 00:00:01.915574,12.006426178129772,0.0026508266053535843,0.005778496714475313,COMPLETE
8,0.8764390961956716,2026-07-17 22:03:20.149020,2026-07-17 22:03:21.911512,0 days 00:00:01.762492,4.304741271369334,0.0067122169366970325,0.13220840263680597,COMPLETE
9,1.000380460162695,2026-07-17 22:03:21.911572,2026-07-17 22:03:22.673595,0 days 00:00:00.762023,0.4633121098981667,0.3367219156696561,0.003563567834281792,COMPLETE
