setting,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,spearman_mean,spearman_std
Coarse position,0.979165880343745,0.06231699535730987,0.6944487092975923,0.055240358748634796,0.2630568799940044,0.09309358838028257,0.6333329074448566,0.025800925343641215
Correct site,0.847957692560524,0.01962546692534181,0.5072520679040828,0.007734867421213561,0.448874030100444,0.025574329183189297,0.7382422760621214,0.006467151238859573
Wrong site,0.9892499979932193,0.065538653466416,0.6830092451614647,0.04930996519087042,0.24759644387944713,0.0982522681927894,0.6138246653054501,0.03224764102833353
