number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.84527797469212,TrialState.COMPLETE,252,5,0.029478872364631186,0.5784659123159299,0.7484686769431275,11,0.0001688087053713021,2.6949966762503707e-08,1.646201181032717
1,0.8627886118337719,TrialState.COMPLETE,445,8,0.00521698826530324,0.6036368974329093,0.8353080066814753,6,0.022293153894239106,0.0012216124645472142,3.4968793576463177
2,0.8908080417737567,TrialState.COMPLETE,951,10,0.15134032032969857,0.5885756419059008,0.956924811147867,13,0.855024855715909,9.06841225267534e-05,9.255673708150212
3,0.8929183923674602,TrialState.COMPLETE,1758,9,0.06674678207687096,0.5580362825741256,0.6305471980806316,12,6.261065265351961,1.9555534431460735,7.584689295775474
4,0.8633196687148915,TrialState.COMPLETE,1353,7,0.11502007529279143,0.9698501175898878,0.8354056721432905,4,0.004498458596146871,3.005859206994013e-08,6.0704898928271085
5,0.9364509575164776,TrialState.COMPLETE,414,2,0.012132185400967506,0.5145837724239815,0.8047226899839401,11,3.525475493800482e-05,0.0038761286038331458,7.525809595462924
6,0.8980515083827392,TrialState.COMPLETE,1373,2,0.079517262504438,0.6650376335810361,0.6621057573547999,10,4.473254351857495,1.8660588909568683,6.6940304919067
7,0.8815023818245296,TrialState.COMPLETE,1368,5,0.06773593515632807,0.6880201871051448,0.9605048628146653,18,0.0004965934939103403,2.5449466757119544e-05,7.127171608961214
8,0.8907949708707105,TrialState.COMPLETE,1522,2,0.009032761768642596,0.8021946277426302,0.6163194358419251,20,5.517703740084726e-06,5.264237805716335e-05,1.6424045545386246
9,0.865170182275836,TrialState.COMPLETE,1283,8,0.16155305170627382,0.5859294197775043,0.7279944235649451,3,0.0006906345624508944,0.07527743807160886,5.679381500761403
10,0.8291533154178844,TrialState.COMPLETE,798,5,0.03058720012042407,0.9625361647411448,0.5004536902356598,16,1.2597491717388089e-08,2.868874149341742e-08,0.15178545282014144
11,0.8327171225832727,TrialState.COMPLETE,741,5,0.028156187485882656,0.9831901666639296,0.5022574997387463,16,1.7366185582790823e-08,1.2617073148880918e-08,0.09289790664939421
12,0.8304984235192422,TrialState.COMPLETE,841,5,0.03027533732259329,0.9965523851796895,0.500070402732988,16,5.79483152474221e-08,5.431507727077044e-07,0.23026669773703096
13,0.8317418148290951,TrialState.COMPLETE,846,4,0.03132382626509687,0.8944505118011427,0.5094605294335902,16,1.017722011210641e-08,1.0533441795897941e-06,0.4947274891734253
14,0.8479628480165174,TrialState.COMPLETE,700,6,0.01586214983460788,0.8927828033721995,0.5641124924475897,15,4.698913017116204e-07,1.3875503453794551e-06,2.3656269164771855
