number,value,datetime_start,datetime_complete,duration,params_alpha,params_l1_ratio,state
0,1.1400575098598156,2026-07-17 22:03:42.571533,2026-07-17 22:03:42.573844,0 days 00:00:00.002311,6.341310723409236,0.5462876041922079,COMPLETE
1,1.1400575098598156,2026-07-17 22:03:42.573894,2026-07-17 22:03:42.575505,0 days 00:00:00.001611,6.856558090115625,0.7105196738008773,COMPLETE
2,1.0525950232040635,2026-07-17 22:03:42.575535,2026-07-17 22:03:42.578005,0 days 00:00:00.002470,0.1535935391236005,0.22176770566876886,COMPLETE
3,1.1207046473829294,2026-07-17 22:03:42.578035,2026-07-17 22:03:42.579769,0 days 00:00:00.001734,7.205211419490808,0.016105650100498067,COMPLETE
4,1.019577347591031,2026-07-17 22:03:42.579799,2026-07-17 22:03:42.794294,0 days 00:00:00.214495,0.00032952940508099984,0.43609570175635687,COMPLETE
5,1.0870566598638831,2026-07-17 22:03:42.794325,2026-07-17 22:03:42.796056,0 days 00:00:00.001731,0.4745669949715017,0.20373137310824804,COMPLETE
6,1.1400575098598156,2026-07-17 22:03:42.796086,2026-07-17 22:03:42.797631,0 days 00:00:00.001545,1.5064662748355773,0.9737326636318065,COMPLETE
7,1.0198001260696747,2026-07-17 22:03:42.797661,2026-07-17 22:03:43.029936,0 days 00:00:00.232275,9.6173063086053e-05,0.595387265054202,COMPLETE
8,1.020123242907794,2026-07-17 22:03:43.029968,2026-07-17 22:03:43.267142,0 days 00:00:00.237174,1.1321828864514732e-05,0.3888398569907568,COMPLETE
9,1.0200940468715307,2026-07-17 22:03:43.267175,2026-07-17 22:03:43.502342,0 days 00:00:00.235167,1.840603941042323e-05,0.9475199083599511,COMPLETE
