number,value,datetime_start,datetime_complete,duration,params_alpha,params_l1_ratio,state
0,1.0214097508577895,2026-07-17 22:02:36.473273,2026-07-17 22:02:36.529377,0 days 00:00:00.056104,0.004130184122809876,0.03540770719133351,COMPLETE
1,1.0257301282862192,2026-07-17 22:02:36.529497,2026-07-17 22:02:36.540017,0 days 00:00:00.010520,0.019859799848850116,0.43661594476591137,COMPLETE
2,1.021480452814459,2026-07-17 22:02:36.540060,2026-07-17 22:02:36.572932,0 days 00:00:00.032872,0.003328180046411635,0.33372812458379664,COMPLETE
3,1.0191581350080519,2026-07-17 22:02:36.572980,2026-07-17 22:02:36.907764,0 days 00:00:00.334784,0.00016900198445929512,0.6168855470236504,COMPLETE
4,1.0195628036638131,2026-07-17 22:02:36.907824,2026-07-17 22:02:37.135719,0 days 00:00:00.227895,0.0006279543048780199,0.27149072960080933,COMPLETE
5,1.040374252441574,2026-07-17 22:02:37.135779,2026-07-17 22:02:37.140561,0 days 00:00:00.004782,0.05330930205460218,0.5285592523914983,COMPLETE
6,1.0191459242970162,2026-07-17 22:02:37.140607,2026-07-17 22:02:37.449681,0 days 00:00:00.309074,6.419181746759598e-05,0.5133065588404315,COMPLETE
7,1.0191332463416518,2026-07-17 22:02:37.449738,2026-07-17 22:02:37.766500,0 days 00:00:00.316762,0.00012783188524672593,0.77962844486034,COMPLETE
8,1.1400575098598156,2026-07-17 22:02:37.766552,2026-07-17 22:02:37.768473,0 days 00:00:00.001921,1.3300003517818502,0.49435210063428925,COMPLETE
9,1.098265523876032,2026-07-17 22:02:37.768512,2026-07-17 22:02:37.770507,0 days 00:00:00.001995,1.2005186526406828,0.08805256746887977,COMPLETE
