number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.83630835552258,2026-07-17 22:03:13.628228,2026-07-17 22:03:14.038255,0 days 00:00:00.410027,0.7101839010437445,0.051895221650230125,3,4,492,1.6900198445929524e-05,0.02162204487972218,0.7176611963091384,COMPLETE
1,0.8384913129920831,2026-07-17 22:03:14.038320,2026-07-17 22:03:14.401454,0 days 00:00:00.363134,0.5672899726724667,0.0642856068199064,5,6,369,1.2783188524672603e-05,0.3143011967884681,0.7645710471385195,COMPLETE
2,0.9651300229681432,2026-07-17 22:03:14.401516,2026-07-17 22:03:15.157651,0 days 00:00:00.756135,0.752623045060852,0.12629957397449698,6,1,869,0.0003704537245820395,4.739324106112271e-06,0.5398227385045304,COMPLETE
3,0.8420090457379551,2026-07-17 22:03:15.157717,2026-07-17 22:03:15.461904,0 days 00:00:00.304187,0.6101531035352799,0.019681055777476822,7,4,214,0.0006408035477196705,2.583465009655243e-05,0.5534728421549915,COMPLETE
4,0.8664252346479743,2026-07-17 22:03:15.461966,2026-07-17 22:03:16.040897,0 days 00:00:00.578931,0.8968187272207886,0.04542847181351396,6,6,677,9.414377115189814e-06,0.08040192118743245,0.6934463255592797,COMPLETE
5,0.9883834014911855,2026-07-17 22:03:16.040959,2026-07-17 22:03:17.043688,0 days 00:00:01.002729,0.7835720638138546,0.14364558586220136,7,5,969,0.00041733381765596224,0.2728439291002305,0.6708068263355549,COMPLETE
6,0.912140632468542,2026-07-17 22:03:17.043750,2026-07-17 22:03:18.019014,0 days 00:00:00.975264,0.6831712008375102,0.05105416060519467,10,9,582,0.00027393672434359516,1.550302906560003e-06,0.5410474611375125,COMPLETE
7,0.8389526094006888,2026-07-17 22:03:18.019079,2026-07-17 22:03:18.303004,0 days 00:00:00.283925,0.9001291755662935,0.19635016841364633,3,7,322,0.03888294604589325,1.5296008845845667e-05,0.9852901566885868,COMPLETE
8,0.8412693844848964,2026-07-17 22:03:18.303058,2026-07-17 22:03:18.758131,0 days 00:00:00.455073,0.9915767226786063,0.029105756179923944,7,5,364,0.0010568239243767842,0.00018398788316221468,0.5228394826227001,COMPLETE
9,0.8999077242503511,2026-07-17 22:03:18.758192,2026-07-17 22:03:19.390748,0 days 00:00:00.632556,0.6896052834708187,0.12091465563067423,6,1,334,0.06087369082371223,7.686375253646707e-05,0.8683735281435565,COMPLETE
