cutoff,model,metric,estimate,ci95_low,ci95_high,bootstrap_unit,replicates,bootstrap_seed
2016,Chemistry,r2,-0.6683539380133787,-1.847216337419215,-0.2438930920234054,peptide family,2000,20260717
2016,Chemistry,rmse,1.380874811774497,1.1926007843998503,1.6359996343974097,peptide family,2000,20260717
2016,Chemistry,mae,1.0105061746473523,0.8813468193381757,1.2773400048091148,peptide family,2000,20260717
2016,Chemistry,spearman,-0.019095800786008175,-0.17288673659090903,0.2024657618057945,peptide family,2000,20260717
2016,Chemistry + Site,r2,-0.550199068318671,-1.2871740950011616,-0.1918490406496068,peptide family,2000,20260717
2016,Chemistry + Site,rmse,1.3310793568214931,1.081443631649712,1.6393902474287914,peptide family,2000,20260717
2016,Chemistry + Site,mae,0.9163312269062787,0.793109809647233,1.1764498868775106,peptide family,2000,20260717
2016,Chemistry + Site,spearman,0.009632053852554568,-0.15548779163939677,0.19933241798765572,peptide family,2000,20260717
2016,Chemistry + Site + Context,r2,-0.39906028270105875,-0.9760533401734611,-0.1665209261249051,peptide family,2000,20260717
2016,Chemistry + Site + Context,rmse,1.2645279303773134,1.058357976275968,1.531516628404485,peptide family,2000,20260717
2016,Chemistry + Site + Context,mae,0.8466524084213967,0.7795751155506689,1.1083092851698861,peptide family,2000,20260717
2016,Chemistry + Site + Context,spearman,0.031051656875647905,-0.10744867078487917,0.29182837685042984,peptide family,2000,20260717
2016,ECFP,r2,-0.33338603962047486,-0.6424372349982965,-0.09686805090502716,peptide family,2000,20260717
2016,ECFP,rmse,1.2344916715368919,1.0341921324234185,1.433854811007367,peptide family,2000,20260717
2016,ECFP,mae,0.8398453308692978,0.7259962148098615,1.0051875246244615,peptide family,2000,20260717
2016,ECFP,spearman,0.3727644994526725,0.10796583891561456,0.47091961554468487,peptide family,2000,20260717
2016,RDKit,r2,-1.002215049881639,-2.4054519066288997,-0.4411239521896585,peptide family,2000,20260717
