split,feature_set_id,feature_set,estimator,seed,r2,rmse,mae,spearman,validation_score,runtime_seconds,status,prediction_file,source,best_params_json
random,A+B+C,Chemistry + Site + Context,XGBoost,3,0.4685709461661183,0.8328454695456904,0.503537014519352,0.734040468941152,0.8298633882129116,,completed_reused,results/benchmark/random/seed_3/full_ABC_xgb/predictions.csv,results/benchmark/random/seed_3/full_ABC_xgb/metrics.json,"{""colsample_bytree"": 0.7342854512326338, ""gamma"": 1.0117120805615776, ""learning_rate"": 0.044735464315118115, ""max_depth"": 6, ""min_child_weight"": 12, ""n_estimators"": 1778, ""reg_alpha"": 3.46308316029253e-05, ""reg_lambda"": 0.00028710367163702673, ""subsample"": 0.8624190485479617}"
random,A+B+C,Chemistry + Site + Context,XGBoost,4,0.4611813829272594,0.8386158705560225,0.501129637257033,0.7416784223227866,0.8507008509486768,,completed_reused,results/benchmark/random/seed_4/full_ABC_xgb/predictions.csv,results/benchmark/random/seed_4/full_ABC_xgb/metrics.json,"{""colsample_bytree"": 0.7496031498082647, ""gamma"": 0.4300980631985552, ""learning_rate"": 0.025053239790066534, ""max_depth"": 7, ""min_child_weight"": 7, ""n_estimators"": 2000, ""reg_alpha"": 0.0006365202559682879, ""reg_lambda"": 9.863503056234995e-06, ""subsample"": 0.7899398028921742}"
sequence_cluster,A,Chemistry,XGBoost,0,0.22813905029428327,0.9456388509832432,0.6459083720989245,0.5925409333146114,0.8121333860828349,,completed_reused,results/benchmark/sequence_cluster/seed_0/chem_A_xgb/predictions.csv,results/benchmark/sequence_cluster/seed_0/chem_A_xgb/metrics.json,"{""colsample_bytree"": 0.7133732493134515, ""gamma"": 2.7750921600028895, ""learning_rate"": 0.028296018059842453, ""max_depth"": 3, ""min_child_weight"": 12, ""n_estimators"": 1270, ""reg_alpha"": 2.1279496449433586e-07, ""reg_lambda"": 8.759246404356317e-08, ""subsample"": 0.9974583715252774}"
sequence_cluster,A,Chemistry,XGBoost,1,0.2503046010587793,0.9319619783559616,0.5796050117033351,0.5789988683862402,0.8187269205207448,,completed_reused,results/benchmark/sequence_cluster/seed_1/chem_A_xgb/predictions.csv,results/benchmark/sequence_cluster/seed_1/chem_A_xgb/metrics.json,"{""colsample_bytree"": 0.8272856478319595, ""gamma"": 1.9122509451356653, ""learning_rate"": 0.018511945504075394, ""max_depth"": 8, ""min_child_weight"": 16, ""n_estimators"": 204, ""reg_alpha"": 0.014275016741818802, ""reg_lambda"": 3.850994204613963e-06, ""subsample"": 0.9085858606148226}"
sequence_cluster,A,Chemistry,XGBoost,2,0.25327268486203747,0.9301153053504259,0.6090837082387294,0.593257756656907,0.8039663373370449,,completed_reused,results/benchmark/sequence_cluster/seed_2/chem_A_xgb/predictions.csv,results/benchmark/sequence_cluster/seed_2/chem_A_xgb/metrics.json,"{""colsample_bytree"": 0.8874786363593008, ""gamma"": 6.651277422713029, ""learning_rate"": 0.10563106290116796, ""max_depth"": 8, ""min_child_weight"": 15, ""n_estimators"": 1910, ""reg_alpha"": 0.007271138262842969, ""reg_lambda"": 2.351698798707779e-06, ""subsample"": 0.6014583800314968}"
sequence_cluster,A,Chemistry,XGBoost,3,0.24882187337838824,0.932883127968619,0.5990779427792768,0.585263362234574,0.8146925633281421,,completed_reused,results/benchmark/sequence_cluster/seed_3/chem_A_xgb/predictions.csv,results/benchmark/sequence_cluster/seed_3/chem_A_xgb/metrics.json,"{""colsample_bytree"": 0.9989637038327633, ""gamma"": 5.927951748702587, ""learning_rate"": 0.1392662341949881, ""max_depth"": 9, ""min_child_weight"": 12, ""n_estimators"": 1885, ""reg_alpha"": 7.746507372998913e-08, ""reg_lambda"": 9.029726930771369e-08, ""subsample"": 0.5965633927570344}"
sequence_cluster,A,Chemistry,XGBoost,4,0.2367390986238952,0.9403559564217225,0.593092602364469,0.5814878702116064,0.8051449678371594,,completed_reused,results/benchmark/sequence_cluster/seed_4/chem_A_xgb/predictions.csv,results/benchmark/sequence_cluster/seed_4/chem_A_xgb/metrics.json,"{""colsample_bytree"": 0.9768404339339813, ""gamma"": 4.051679618428929, ""learning_rate"": 0.0834223622242474, ""max_depth"": 8, ""min_child_weight"": 18, ""n_estimators"": 1351, ""reg_alpha"": 1.6359013052872082, ""reg_lambda"": 1.6187997800125692e-05, ""subsample"": 0.7936781518049867}"
sequence_cluster,A+B,Chemistry + Site,XGBoost,0,0.2509650962167068,0.9315513502436857,0.6017522762878273,0.5887135546719727,0.7912244442294448,,completed_reused,results/benchmark/sequence_cluster/seed_0/chem_site_AB_xgb/predictions.csv,results/benchmark/sequence_cluster/seed_0/chem_site_AB_xgb/metrics.json,"{""colsample_bytree"": 0.9253767847687521, ""gamma"": 5.266828988340087, ""learning_rate"": 0.112874929836738, ""max_depth"": 10, ""min_child_weight"": 13, ""n_estimators"": 704, ""reg_alpha"": 2.279070948243191, ""reg_lambda"": 3.7077328575779704, ""subsample"": 0.9754044986412777}"
sequence_cluster,A+B,Chemistry + Site,XGBoost,1,0.30003242020059095,0.9005228446565805,0.5423798090709134,0.6174049807731317,0.8250036913852309,,completed_reused,results/benchmark/sequence_cluster/seed_1/chem_site_AB_xgb/predictions.csv,results/benchmark/sequence_cluster/seed_1/chem_site_AB_xgb/metrics.json,"{""colsample_bytree"": 0.9982892476031907, ""gamma"": 1.4623245683202952, ""learning_rate"": 0.09344615920454112, ""max_depth"": 10, ""min_child_weight"": 8, ""n_estimators"": 1342, ""reg_alpha"": 0.0006212363419016549, ""reg_lambda"": 9.688516318687172e-06, ""subsample"": 0.7195801766885725}"
sequence_cluster,A+B,Chemistry + Site,XGBoost,2,0.26890387003433835,0.92032880356802,0.5974570049285195,0.6027571289913983,0.785707758266045,,completed_reused,results/benchmark/sequence_cluster/seed_2/chem_site_AB_xgb/predictions.csv,results/benchmark/sequence_cluster/seed_2/chem_site_AB_xgb/metrics.json,"{""colsample_bytree"": 0.9674096186655345, ""gamma"": 2.6221384254809155, ""learning_rate"": 0.030129244809064835, ""max_depth"": 8, ""min_child_weight"": 20, ""n_estimators"": 636, ""reg_alpha"": 1.4997596707042033e-06, ""reg_lambda"": 9.846051480057406e-08, ""subsample"": 0.9995505283704824}"
sequence_cluster,A+B,Chemistry + Site,XGBoost,3,0.2653163895335995,0.9225840618745469,0.573541732221208,0.5832912502259783,0.8113183743102175,,completed_reused,results/benchmark/sequence_cluster/seed_3/chem_site_AB_xgb/predictions.csv,results/benchmark/sequence_cluster/seed_3/chem_site_AB_xgb/metrics.json,"{""colsample_bytree"": 0.9363062181127916, ""gamma"": 0.6228175455449801, ""learning_rate"": 0.05253866280051924, ""max_depth"": 8, ""min_child_weight"": 15, ""n_estimators"": 1446, ""reg_alpha"": 0.4524092528731871, ""reg_lambda"": 0.0018198220487177686, ""subsample"": 0.8512599905018335}"
sequence_cluster,A+B,Chemistry + Site,XGBoost,4,0.278935899024081,0.9139926619730028,0.5816616950896228,0.6200268229071589,0.795778814220469,,completed_reused,results/benchmark/sequence_cluster/seed_4/chem_site_AB_xgb/predictions.csv,results/benchmark/sequence_cluster/seed_4/chem_site_AB_xgb/metrics.json,"{""colsample_bytree"": 0.8773529997097391, ""gamma"": 5.439537243691118, ""learning_rate"": 0.02269900081760044, ""max_depth"": 9, ""min_child_weight"": 18, ""n_estimators"": 671, ""reg_alpha"": 0.004768948578527608, ""reg_lambda"": 0.07532811575976706, ""subsample"": 0.7454534448151907}"
sequence_cluster,A+B+C,Chemistry + Site + Context,XGBoost,0,0.1831730037809035,0.9727938431609565,0.6197347186400375,0.5136623813369818,0.8597903216022251,,completed_reused,results/benchmark/sequence_cluster/seed_0/full_ABC_xgb/predictions.csv,results/benchmark/sequence_cluster/seed_0/full_ABC_xgb/metrics.json,"{""colsample_bytree"": 0.5437238511848774, ""gamma"": 0.19589619112625134, ""learning_rate"": 0.04425066993932496, ""max_depth"": 7, ""min_child_weight"": 7, ""n_estimators"": 891, ""reg_alpha"": 1.439778800331236e-06, ""reg_lambda"": 0.001589549409627926, ""subsample"": 0.7181207791670048}"
sequence_cluster,A+B+C,Chemistry + Site + Context,XGBoost,1,0.26488201836785796,0.9228567538828628,0.5721041052014385,0.5789395240934194,0.8353801286828546,,completed_reused,results/benchmark/sequence_cluster/seed_1/full_ABC_xgb/predictions.csv,results/benchmark/sequence_cluster/seed_1/full_ABC_xgb/metrics.json,"{""colsample_bytree"": 0.65072961791774, ""gamma"": 1.9726921629170158, ""learning_rate"": 0.11130648757819411, ""max_depth"": 8, ""min_child_weight"": 6, ""n_estimators"": 1520, ""reg_alpha"": 0.007510320156540109, ""reg_lambda"": 29.606593949452066, ""subsample"": 0.6536669511764637}"
sequence_cluster,A+B+C,Chemistry + Site + Context,XGBoost,2,0.27834709024947957,0.9143657613125034,0.5716687925440983,0.5749526959545306,0.8273049791746148,,completed_reused,results/benchmark/sequence_cluster/seed_2/full_ABC_xgb/predictions.csv,results/benchmark/sequence_cluster/seed_2/full_ABC_xgb/metrics.json,"{""colsample_bytree"": 0.5966426840424269, ""gamma"": 1.066411773048002, ""learning_rate"": 0.027056018838381646, ""max_depth"": 8, ""min_child_weight"": 15, ""n_estimators"": 316, ""reg_alpha"": 0.004840908521681245, ""reg_lambda"": 4.8912873519693205e-08, ""subsample"": 0.9954956515689498}"
sequence_cluster,A+B+C,Chemistry + Site + Context,XGBoost,3,0.2914084905932962,0.9060532947390376,0.5824113411025318,0.610431968768748,0.8200301631257566,,completed_reused,results/benchmark/sequence_cluster/seed_3/full_ABC_xgb/predictions.csv,results/benchmark/sequence_cluster/seed_3/full_ABC_xgb/metrics.json,"{""colsample_bytree"": 0.6541199178974878, ""gamma"": 3.0237416217722775, ""learning_rate"": 0.026305472134091748, ""max_depth"": 9, ""min_child_weight"": 16, ""n_estimators"": 1733, ""reg_alpha"": 0.6320173197825487, ""reg_lambda"": 2.0138425037006438e-05, ""subsample"": 0.8289846614932227}"
sequence_cluster,A+B+C,Chemistry + Site + Context,XGBoost,4,0.2388597126525911,0.9390487238217414,0.6039806480974651,0.5737590660439396,0.8461956844446477,,completed_reused,results/benchmark/sequence_cluster/seed_4/full_ABC_xgb/predictions.csv,results/benchmark/sequence_cluster/seed_4/full_ABC_xgb/metrics.json,"{""colsample_bytree"": 0.6812466332116696, ""gamma"": 0.34316621611307807, ""learning_rate"": 0.03584981573577824, ""max_depth"": 9, ""min_child_weight"": 3, ""n_estimators"": 303, ""reg_alpha"": 8.011789035550101e-08, ""reg_lambda"": 0.0100727636310169, ""subsample"": 0.6314929128314959}"
