split,feature_set_id,feature_set,metric,mean,sample_sd,ci95_low,ci95_high,n_completed_seeds
random,A,Chemistry,r2,0.42532447595986894,0.009663867513667424,0.4133251995847372,0.4373237523350007,5
random,A,Chemistry,rmse,0.8660459551466534,0.007255767539729104,0.8570367298132362,0.8750551804800706,5
random,A,Chemistry,mae,0.5282949834362259,0.005137615113078499,0.5219157917136888,0.534674175158763,5
random,A,Chemistry,spearman,0.7143676719950143,0.007401924632317175,0.7051769686616484,0.7235583753283802,5
random,A+B,Chemistry + Site,r2,0.44598388572179354,0.020940653733216658,0.4199826298824071,0.47198514156118,5
random,A+B,Chemistry + Site,rmse,0.8502400414603513,0.015989070444530826,0.8303869883246334,0.8700930945960691,5
random,A+B,Chemistry + Site,mae,0.5157735790281347,0.013063877307381913,0.4995526328986074,0.531994525157662,5
random,A+B,Chemistry + Site,spearman,0.7323370374451452,0.010804965968196377,0.7189209002006188,0.7457531746896716,5
random,A+B+C,Chemistry + Site + Context,r2,0.46652351034915124,0.005648623428105306,0.45950981799906254,0.47353720269923993,5
random,A+B+C,Chemistry + Site + Context,rmse,0.8344389241239061,0.004417472421170214,0.828953907655481,0.8399239405923311,5
random,A+B+C,Chemistry + Site + Context,mae,0.5018932701964991,0.004296528066424867,0.4965584259791473,0.5072281144138509,5
random,A+B+C,Chemistry + Site + Context,spearman,0.7395096615775125,0.005979717917369642,0.7320848611201006,0.7469344620349244,5
random,A+C,Chemistry + Context,r2,0.3831828134387323,0.034615554364943804,0.3402019258059163,0.4261637010715483,5
random,A+C,Chemistry + Context,rmse,0.896980909719699,0.025176417730580037,0.8657202582198988,0.9282415612194992,5
random,A+C,Chemistry + Context,mae,0.5375382413273885,0.012237719148011465,0.5223431060411737,0.5527333766136032,5
random,A+C,Chemistry + Context,spearman,0.7000341230421047,0.013455636501714115,0.6833267436250098,0.7167415024591995,5
sequence_cluster,A,Chemistry,r2,0.24345546164347667,0.010627663738922108,0.23025947419384146,0.2566514490931119,5
sequence_cluster,A,Chemistry,rmse,0.9361910438159946,0.006564096607748455,0.9280406413774219,0.9443414462545673,5
sequence_cluster,A,Chemistry,mae,0.6053535274369469,0.025056481114093376,0.5742417969159046,0.6364652579579892,5
sequence_cluster,A,Chemistry,spearman,0.5863097581607878,0.006420609083726936,0.578337519014984,0.5942819973065916,5
sequence_cluster,A+B,Chemistry + Site,r2,0.2728307350018634,0.01821535424553549,0.25021338542065386,0.2954480845830729,5
sequence_cluster,A+B,Chemistry + Site,rmse,0.9177959444631671,0.011525814140497982,0.903484755994923,0.9321071329314113,5
sequence_cluster,A+B,Chemistry + Site,mae,0.5793585035196183,0.023641066890683075,0.55000424188233,0.6087127651569065,5
sequence_cluster,A+B,Chemistry + Site,spearman,0.602438747513928,0.016495737871591015,0.581956583674967,0.622920911352889,5
sequence_cluster,A+B+C,Chemistry + Site + Context,r2,0.25133406312882567,0.0427806904257634,0.1982148200088547,0.30445330624879663,5
sequence_cluster,A+B+C,Chemistry + Site + Context,rmse,0.9310236753834203,0.026347926560341555,0.8983084035461274,0.9637389472207133,5
sequence_cluster,A+B+C,Chemistry + Site + Context,mae,0.5899799211171142,0.02117483151830415,0.5636878951528055,0.6162719470814229,5
sequence_cluster,A+B+C,Chemistry + Site + Context,spearman,0.5703491272395238,0.03509500246383851,0.5267729261633031,0.6139253283157445,5
