split,feature_set_id,feature_set,metric,mean,sample_sd,ci95_low,ci95_high,n_completed_seeds,estimate_95ci
random,A,Chemistry,r2,0.42532447595986894,0.009663867513667424,0.4133251995847372,0.4373237523350007,5,"0.425 (0.413, 0.437)"
random,A,Chemistry,rmse,0.8660459551466534,0.007255767539729104,0.8570367298132362,0.8750551804800706,5,"0.866 (0.857, 0.875)"
random,A,Chemistry,mae,0.5282949834362259,0.005137615113078499,0.5219157917136888,0.534674175158763,5,"0.528 (0.522, 0.535)"
random,A,Chemistry,spearman,0.7143676719950143,0.007401924632317175,0.7051769686616484,0.7235583753283802,5,"0.714 (0.705, 0.724)"
random,A+B,Chemistry + Site,r2,0.44598388572179354,0.020940653733216658,0.4199826298824071,0.47198514156118,5,"0.446 (0.420, 0.472)"
random,A+B,Chemistry + Site,rmse,0.8502400414603513,0.015989070444530826,0.8303869883246334,0.8700930945960691,5,"0.850 (0.830, 0.870)"
random,A+B,Chemistry + Site,mae,0.5157735790281347,0.013063877307381913,0.4995526328986074,0.531994525157662,5,"0.516 (0.500, 0.532)"
random,A+B,Chemistry + Site,spearman,0.7323370374451452,0.010804965968196377,0.7189209002006188,0.7457531746896716,5,"0.732 (0.719, 0.746)"
random,A+B+C,Chemistry + Site + Context,r2,0.46652351034915124,0.005648623428105306,0.45950981799906254,0.47353720269923993,5,"0.467 (0.460, 0.474)"
random,A+B+C,Chemistry + Site + Context,rmse,0.8344389241239061,0.004417472421170214,0.828953907655481,0.8399239405923311,5,"0.834 (0.829, 0.840)"
random,A+B+C,Chemistry + Site + Context,mae,0.5018932701964991,0.004296528066424867,0.4965584259791473,0.5072281144138509,5,"0.502 (0.497, 0.507)"
random,A+B+C,Chemistry + Site + Context,spearman,0.7395096615775125,0.005979717917369642,0.7320848611201006,0.7469344620349244,5,"0.740 (0.732, 0.747)"
random,A+C,Chemistry + Context,r2,0.41408295262765016,0.022132568963249832,0.3866017385582208,0.44156416669707954,5,"0.414 (0.387, 0.442)"
random,A+C,Chemistry + Context,rmse,0.8743760052211773,0.01646855225327726,0.8539275967857454,0.8948244136566093,5,"0.874 (0.854, 0.895)"
random,A+C,Chemistry + Context,mae,0.5214909294897646,0.006095356014341676,0.5139225453705217,0.5290593136090075,5,"0.521 (0.514, 0.529)"
random,A+C,Chemistry + Context,spearman,0.7117724846305564,0.007829088232322437,0.7020513876337209,0.721493581627392,5,"0.712 (0.702, 0.721)"
random,B,Site,r2,0.2922255888515168,0.03613659421657332,0.24735608079509924,0.3370950969079343,5,"0.292 (0.247, 0.337)"
random,B,Site,rmse,0.9608929243379268,0.024641612518090116,0.9302963212165271,0.9914895274593266,5,"0.961 (0.930, 0.991)"
random,B,Site,mae,0.6255446729601182,0.01861249044680089,0.6024342136554139,0.6486551322648224,5,"0.626 (0.602, 0.649)"
random,B,Site,spearman,0.6034428785553032,0.013036003138546184,0.5872565427776991,0.6196292143329073,5,"0.603 (0.587, 0.620)"
random,B+C,Site + Context,r2,0.3788494435479478,0.0202398442309404,0.35371835763713694,0.4039805294587587,5,"0.379 (0.354, 0.404)"
