split,feature_set_id,feature_set,metric,mean,sample_sd,ci95_low,ci95_high,n_completed_seeds
sequence_cluster,B,Site,mae,0.6940990013257722,0.004073704445709222,0.6890408291762125,0.6991571734753319,5
sequence_cluster,B,Site,spearman,0.4367113654540057,0.023597028847941997,0.4074117842689404,0.46601094663907094,5
sequence_cluster,B+C,Site + Context,r2,0.10324793850587939,0.05179616216786554,0.038934508696916795,0.16756136831484197,5
sequence_cluster,B+C,Site + Context,rmse,1.0189407971616098,0.029240537130398467,0.9826338749186535,1.055247719404566,5
sequence_cluster,B+C,Site + Context,mae,0.699120383688115,0.019856508723304037,0.6744652716763694,0.7237754956998607,5
sequence_cluster,B+C,Site + Context,spearman,0.48339598619330876,0.01266535809813954,0.46766986701849034,0.4991221053681272,5
sequence_cluster,C,Context,r2,0.08550419165229031,0.026809470048863464,0.05221583788169438,0.11879254542288625,5
sequence_cluster,C,Context,rmse,1.0292235110463994,0.015007677127219204,1.0105890186608653,1.0478580034319336,5
sequence_cluster,C,Context,mae,0.7361172205719846,0.01980531552179468,0.7115256733155059,0.7607087678284633,5
sequence_cluster,C,Context,spearman,0.45744373486206913,0.013011843529784748,0.4412873972008748,0.47360007252326347,5
