number,value,datetime_start,datetime_complete,duration,params_alpha,state
0,1.0197066368594172,2026-07-17 22:02:36.435742,2026-07-17 22:02:36.438751,0 days 00:00:00.003009,4.1301841228098795,COMPLETE
1,1.019331486496765,2026-07-17 22:02:36.438793,2026-07-17 22:02:36.440546,0 days 00:00:00.001753,0.01430729035716347,COMPLETE
2,1.021308927701735,2026-07-17 22:02:36.440577,2026-07-17 22:02:36.442284,0 days 00:00:00.001707,19.85979984885013,COMPLETE
3,1.0197007969749752,2026-07-17 22:02:36.442315,2026-07-17 22:02:36.444017,0 days 00:00:00.001702,4.091988040159676,COMPLETE
4,1.019581299478337,2026-07-17 22:02:36.444047,2026-07-17 22:02:36.445739,0 days 00:00:00.001692,3.3281800464116373,COMPLETE
5,1.0191919011054666,2026-07-17 22:02:36.445768,2026-07-17 22:02:36.447442,0 days 00:00:00.001674,0.9594203502107344,COMPLETE
6,1.0192208676330101,2026-07-17 22:02:36.447472,2026-07-17 22:02:36.449173,0 days 00:00:00.001701,0.16900198445929523,COMPLETE
7,1.022590769953283,2026-07-17 22:02:36.449203,2026-07-17 22:02:36.450883,0 days 00:00:00.001680,51.95481444645874,COMPLETE
8,1.0191588441785835,2026-07-17 22:02:36.450913,2026-07-17 22:02:36.452599,0 days 00:00:00.001686,0.6279543048780203,COMPLETE
9,1.0191620981102618,2026-07-17 22:02:36.452630,2026-07-17 22:02:36.454320,0 days 00:00:00.001690,0.39899150635423397,COMPLETE
