number,value,datetime_start,datetime_complete,duration,params_alpha,params_l1_ratio,state
0,1.030719565204448,2026-07-17 22:03:37.335974,2026-07-17 22:03:37.346292,0 days 00:00:00.010318,0.019628224813442792,0.7108855790449711,COMPLETE
1,1.0373529445147835,2026-07-17 22:03:37.346350,2026-07-17 22:03:37.352027,0 days 00:00:00.005677,0.04135997393839887,0.5439855193369589,COMPLETE
2,1.0217148021450555,2026-07-17 22:03:37.352062,2026-07-17 22:03:37.367578,0 days 00:00:00.015516,0.0034828020870283287,0.642976230805323,COMPLETE
3,1.0239293159403904,2026-07-17 22:03:37.367610,2026-07-17 22:03:37.376365,0 days 00:00:00.008755,0.004222048983149826,0.8839375407664382,COMPLETE
4,1.1400575098598156,2026-07-17 22:03:37.376396,2026-07-17 22:03:37.378030,0 days 00:00:00.001634,6.053082080079015,0.38577268844926216,COMPLETE
5,1.1233985448891421,2026-07-17 22:03:37.378061,2026-07-17 22:03:37.379717,0 days 00:00:00.001656,0.5627949975223141,0.5283170213578464,COMPLETE
6,1.0366861838676156,2026-07-17 22:03:37.379749,2026-07-17 22:03:37.385111,0 days 00:00:00.005362,0.025601615250028693,0.9170847055268078,COMPLETE
7,1.0200925422426894,2026-07-17 22:03:37.385141,2026-07-17 22:03:37.625828,0 days 00:00:00.240687,2.66818752423705e-05,0.09538671370750988,COMPLETE
8,1.0201118029072316,2026-07-17 22:03:37.625982,2026-07-17 22:03:37.861524,0 days 00:00:00.235542,1.3222402845895935e-05,0.8259674486369792,COMPLETE
9,1.1400575098598156,2026-07-17 22:03:37.861556,2026-07-17 22:03:37.863148,0 days 00:00:00.001592,0.46659545670218433,0.8626119052818828,COMPLETE
