representation_id,scope,rank,feature,subblock,proportion
A+B+C,C,8,sequence_length,C,0.005461114179342985
A+B+C,C,9,edit_family_c_terminal,C,0.004557115002535283
A+B+C,C,10,edit_family_substitution,C,0.002371012605726719
B,overall,1,anchor_pos_std,B1,0.1270801991224289
B,overall,2,anchor_c_terminal_count,B3,0.08636009842157363
B,overall,3,anchor_res_L,B2,0.08130968809127807
B,overall,4,anchor_res_A,B2,0.08006763160228729
B,overall,5,anchor_pos_range,B1,0.07748433500528336
B,overall,6,anchor_pos_mean,B1,0.06952378749847413
B,overall,7,anchor_res_P,B2,0.06540334969758987
B,overall,8,anchor_count_total,B1,0.05537599325180054
B,overall,9,anchor_hydrophobic_frac,B3,0.05117938220500946
B,overall,10,anchor_res_F,B2,0.04202676489949227
B,overall,11,anchor_small_frac,B3,0.04089069217443466
B,overall,12,anchor_density,B1,0.03713480047881603
B,overall,13,anchor_aromatic_frac,B3,0.028085776790976524
B,overall,14,anchor_res_G,B2,0.025842919945716858
B,overall,15,anchor_res_D,B2,0.024005930125713348
B,B,1,anchor_pos_std,B1,0.1270801991224289
B,B,2,anchor_c_terminal_count,B3,0.08636009842157363
B,B,3,anchor_res_L,B2,0.08130968809127807
B,B,4,anchor_res_A,B2,0.08006763160228729
B,B,5,anchor_pos_range,B1,0.07748433500528336
B,B,6,anchor_pos_mean,B1,0.06952378749847413
B,B,7,anchor_res_P,B2,0.06540334969758987
B,B,8,anchor_count_total,B1,0.05537599325180054
B,B,9,anchor_hydrophobic_frac,B3,0.05117938220500946
B,B,10,anchor_res_F,B2,0.04202676489949227
