representation_id,seed,feature,subblock,mean_absolute_shap,proportion
A,0,mol_weight,A,0.2106381356716156,0.17473986744880676
A,0,logp,A,0.25069621205329895,0.20797099173069
A,0,tpsa,A,0.10659051686525345,0.0884246900677681
A,0,num_h_acceptors,A,0.06843605637550354,0.05677275359630585
A,0,num_h_donors,A,0.0888221338391304,0.07368450611829758
A,0,num_rotatable_bonds,A,0.106890469789505,0.08867352455854416
A,0,num_aromatic_rings,A,0.11192481219768524,0.09284988045692444
A,0,num_aliphatic_rings,A,0.1543293297290802,0.1280275583267212
A,0,num_edits,A,0.06814582645893097,0.056531988084316254
A,0,num_edit_families,A,0.038964834064245224,0.03232420235872269
A,1,mol_weight,A,0.20878128707408905,0.19458544254302979
A,1,logp,A,0.19508309662342072,0.1818186491727829
A,1,tpsa,A,0.11499255150556564,0.10717376321554184
A,1,num_h_acceptors,A,0.055814992636442184,0.05201991647481918
A,1,num_h_donors,A,0.06468373537063599,0.06028563901782036
A,1,num_rotatable_bonds,A,0.1171383187174797,0.10917363315820694
A,1,num_aromatic_rings,A,0.07578463852405548,0.07063174992799759
A,1,num_aliphatic_rings,A,0.10145163536071777,0.09455354511737823
A,1,num_edits,A,0.08053414523601532,0.07505831867456436
A,1,num_edit_families,A,0.0586899109184742,0.054699357599020004
A,2,mol_weight,A,0.13980409502983093,0.14282771944999695
A,2,logp,A,0.2061079442501068,0.21056555211544037
A,2,tpsa,A,0.09332960844039917,0.09534810483455658
A,2,num_h_acceptors,A,0.04475187510251999,0.045719750225543976
A,2,num_h_donors,A,0.0895082876086235,0.09144413471221924
A,2,num_rotatable_bonds,A,0.09014315903186798,0.09209273755550385
A,2,num_aromatic_rings,A,0.09540116041898727,0.09746445715427399
A,2,num_aliphatic_rings,A,0.10192853957414627,0.1041330099105835
A,2,num_edits,A,0.0631093829870224,0.06447428464889526
A,2,num_edit_families,A,0.05474621057510376,0.0559302382171154
A,3,mol_weight,A,0.19031155109405518,0.19026754796504974
A,3,logp,A,0.20497141778469086,0.20492403209209442
A,3,tpsa,A,0.09471192210912704,0.09469002485275269
A,3,num_h_acceptors,A,0.05256474018096924,0.052552588284015656
A,3,num_h_donors,A,0.06360901892185211,0.06359431147575378
A,3,num_rotatable_bonds,A,0.09511004388332367,0.09508804976940155
A,3,num_aromatic_rings,A,0.08921539038419724,0.08919475972652435
A,3,num_aliphatic_rings,A,0.1128690242767334,0.11284292489290237
A,3,num_edits,A,0.05179513990879059,0.05178316310048103
A,3,num_edit_families,A,0.045073021203279495,0.0450626015663147
A,4,mol_weight,A,0.21444664895534515,0.17663191258907318
A,4,logp,A,0.2383040189743042,0.19628235697746277
A,4,tpsa,A,0.12710726261138916,0.10469362884759903
A,4,num_h_acceptors,A,0.08871110528707504,0.07306811213493347
A,4,num_h_donors,A,0.0838395208120346,0.06905556470155716
A,4,num_rotatable_bonds,A,0.0998142659664154,0.0822133794426918
A,4,num_aromatic_rings,A,0.10367872565984726,0.08539639413356781
A,4,num_aliphatic_rings,A,0.1405971646308899,0.1158047690987587
A,4,num_edits,A,0.05866789072751999,0.04832260683178902
A,4,num_edit_families,A,0.05892123281955719,0.04853127524256706
B,0,anchor_count_total,B1,0.06485041230916977,0.05398866534233093
