representation_id,representation,seed,group,attribution_proportion,n_explained,evaluation_population,shap_method
B,Site,4,B2,0.33864594,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
B,Site,4,B3,0.25710464,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
B,Site,4,C,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
B,Site,4,B,0.99999994,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B,Contexthemistry+Site,0,A,0.4260073,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B,Contexthemistry+Site,0,B1,0.24378316,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B,Contexthemistry+Site,0,B2,0.16245124,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B,Contexthemistry+Site,0,B3,0.16775821,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B,Contexthemistry+Site,0,C,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B,Contexthemistry+Site,0,B,0.5739926,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B,Contexthemistry+Site,1,A,0.46543026,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B,Contexthemistry+Site,1,B1,0.20024005,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B,Contexthemistry+Site,1,B2,0.15545008,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B,Contexthemistry+Site,1,B3,0.1788796,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B,Contexthemistry+Site,1,C,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B,Contexthemistry+Site,1,B,0.53456974,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B,Contexthemistry+Site,2,A,0.44417766,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B,Contexthemistry+Site,2,B1,0.23122598,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B,Contexthemistry+Site,2,B2,0.14574897,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B,Contexthemistry+Site,2,B3,0.17884748,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B,Contexthemistry+Site,2,C,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B,Contexthemistry+Site,2,B,0.55582243,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B,Contexthemistry+Site,3,A,0.48097807,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B,Contexthemistry+Site,3,B1,0.17209569,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B,Contexthemistry+Site,3,B2,0.17567241,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B,Contexthemistry+Site,3,B3,0.17125377,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B,Contexthemistry+Site,3,C,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B,Contexthemistry+Site,3,B,0.51902187,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B,Contexthemistry+Site,4,A,0.43302223,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B,Contexthemistry+Site,4,B1,0.24931519,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B,Contexthemistry+Site,4,B2,0.14291847,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B,Contexthemistry+Site,4,B3,0.17474407,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
