number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.8581978797660628,2026-07-17 22:03:17.774179,2026-07-17 22:03:19.148235,0 days 00:00:01.374056,0.9464734771738273,0.02390428682426169,8,9,596,5.669070564161237e-06,2.822930246072575e-05,0.7554138025988315,COMPLETE
1,0.9005974946534806,2026-07-17 22:03:19.148322,2026-07-17 22:03:19.427448,0 days 00:00:00.279126,0.8245720238073804,0.010936285681718831,6,3,146,0.011416406177374222,0.013678539280189509,0.7284166121973555,COMPLETE
2,0.8570468561421802,2026-07-17 22:03:19.427510,2026-07-17 22:03:19.696142,0 days 00:00:00.268632,0.6417625408856593,0.02174178565560961,7,7,121,0.0004392606562057817,1.2533552061476029e-05,0.7075505985050348,COMPLETE
3,0.8536517388206476,2026-07-17 22:03:19.696227,2026-07-17 22:03:20.617787,0 days 00:00:00.921560,0.6939856287778243,0.025037337591814392,9,10,590,0.7177488987687258,0.05089624371693282,0.6109789419660907,COMPLETE
4,0.9155845547421844,2026-07-17 22:03:20.617851,2026-07-17 22:03:21.995695,0 days 00:00:01.377844,0.8267054512617681,0.031029986450871728,9,6,913,0.00014770274900935133,3.761677278689523e-05,0.5461085044358621,COMPLETE
5,0.8341010443299727,2026-07-17 22:03:21.995759,2026-07-17 22:03:22.454336,0 days 00:00:00.458577,0.728843199661489,0.022401833405014056,6,9,466,0.003292436645320241,9.6475055487071e-05,0.6458963871127164,COMPLETE
6,0.8321155469676814,2026-07-17 22:03:22.454460,2026-07-17 22:03:22.835659,0 days 00:00:00.381199,0.757017529908721,0.018503122315401223,6,1,350,0.0007971007065882054,0.00034295211594751894,0.6006893555215366,COMPLETE
7,0.9374517416875159,2026-07-17 22:03:22.835716,2026-07-17 22:03:23.770476,0 days 00:00:00.934760,0.6868000620744641,0.07927433746969913,8,7,737,0.00010941880911966298,0.010222499290459413,0.8445902068774571,COMPLETE
8,0.8375851983533676,2026-07-17 22:03:23.770540,2026-07-17 22:03:24.175629,0 days 00:00:00.405089,0.9858013030867838,0.012024055844249705,6,3,393,0.01408851003585174,0.03575510086290242,0.6213377110921691,COMPLETE
9,0.8969259764744982,2026-07-17 22:03:24.175690,2026-07-17 22:03:24.840494,0 days 00:00:00.664804,0.5362810689111167,0.05974168506462738,6,2,752,8.150157135647733e-06,5.0203085755131846e-06,0.5334847119664132,COMPLETE
