number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.9747447312707932,2026-07-17 22:03:48.874697,2026-07-17 22:03:49.172305,0 days 00:00:00.297608,3,5,9,246,COMPLETE
1,0.8881735608781381,2026-07-17 22:03:49.172378,2026-07-17 22:03:49.635841,0 days 00:00:00.463463,8,7,4,239,COMPLETE
2,0.8906987721600388,2026-07-17 22:03:49.635916,2026-07-17 22:03:49.989373,0 days 00:00:00.353457,7,6,10,185,COMPLETE
3,0.8818999169578297,2026-07-17 22:03:49.989449,2026-07-17 22:03:50.268810,0 days 00:00:00.279361,12,8,4,110,COMPLETE
4,0.8727822818786483,2026-07-17 22:03:50.268871,2026-07-17 22:03:51.279726,0 days 00:00:01.010855,11,1,13,435,COMPLETE
5,0.9374965876548379,2026-07-17 22:03:51.279790,2026-07-17 22:03:51.650218,0 days 00:00:00.370428,4,1,7,277,COMPLETE
6,0.8791639789270306,2026-07-17 22:03:51.650308,2026-07-17 22:03:51.956594,0 days 00:00:00.306286,13,2,5,107,COMPLETE
7,0.8771538927750437,2026-07-17 22:03:51.956655,2026-07-17 22:03:52.272512,0 days 00:00:00.315857,9,3,8,149,COMPLETE
8,0.8736054433624398,2026-07-17 22:03:52.272585,2026-07-17 22:03:53.056980,0 days 00:00:00.784395,11,4,9,338,COMPLETE
9,0.881329072265124,2026-07-17 22:03:53.057043,2026-07-17 22:03:53.995794,0 days 00:00:00.938751,13,8,4,407,COMPLETE
