number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,state
0,0.8583337555194267,2026-07-17 22:02:50.256011,2026-07-17 22:02:51.938281,0 days 00:00:01.682270,4.430375245218266,0.04234871839273793,0.07257005721594278,COMPLETE
1,0.9098842099752744,2026-07-17 22:02:51.938345,2026-07-17 22:02:53.415910,0 days 00:00:01.477565,4.31171005868549,0.05536672523555753,0.004950159553733192,COMPLETE
2,0.9233745794376466,2026-07-17 22:02:53.415968,2026-07-17 22:02:54.249703,0 days 00:00:00.833735,2.0547625125911337,0.3989301725992402,0.36905577292137587,COMPLETE
3,0.886053651905935,2026-07-17 22:02:54.249765,2026-07-17 22:02:55.897245,0 days 00:00:01.647480,1.4135935551752299,0.02675910131396018,0.1468588598920085,COMPLETE
4,0.9559017313129464,2026-07-17 22:02:55.897305,2026-07-17 22:02:57.797825,0 days 00:00:01.900520,5.059803874660431,0.0015549777899775822,0.503948959867121,COMPLETE
5,1.1208244918295092,2026-07-17 22:02:57.797885,2026-07-17 22:02:58.939496,0 days 00:00:01.141611,0.18255254802399,0.1766916344643917,0.00012046852412030328,COMPLETE
6,0.9601584076722699,2026-07-17 22:02:58.939557,2026-07-17 22:02:59.849415,0 days 00:00:00.909858,21.600820741402043,0.43778567971542487,0.3020289640158664,COMPLETE
7,0.8655225592197695,2026-07-17 22:02:59.849473,2026-07-17 22:03:01.275890,0 days 00:00:01.426417,24.973286104060584,0.12782765866475082,0.007013219779945793,COMPLETE
8,0.9357436773613873,2026-07-17 22:03:01.275950,2026-07-17 22:03:02.713157,0 days 00:00:01.437207,0.2263722969739548,0.002437284478412157,0.036281404040243805,COMPLETE
9,0.8843994701681507,2026-07-17 22:03:02.713217,2026-07-17 22:03:04.464058,0 days 00:00:01.750841,68.23493012435793,0.013157098861922905,0.012229065947034361,COMPLETE
