number,value,datetime_start,datetime_complete,duration,params_alpha,params_l1_ratio,state
0,1.0203092627460912,2026-07-17 22:03:41.699366,2026-07-17 22:03:41.784025,0 days 00:00:00.084659,0.004130184122809876,0.03540770719133351,COMPLETE
1,1.029190465642014,2026-07-17 22:03:41.784075,2026-07-17 22:03:41.792643,0 days 00:00:00.008568,0.019859799848850116,0.43661594476591137,COMPLETE
2,1.02061385146593,2026-07-17 22:03:41.792682,2026-07-17 22:03:41.822769,0 days 00:00:00.030087,0.003328180046411635,0.33372812458379664,COMPLETE
3,1.0196151107869265,2026-07-17 22:03:41.822800,2026-07-17 22:03:42.051656,0 days 00:00:00.228856,0.00016900198445929512,0.6168855470236504,COMPLETE
4,1.0193946446820263,2026-07-17 22:03:42.051696,2026-07-17 22:03:42.207580,0 days 00:00:00.155884,0.0006279543048780199,0.27149072960080933,COMPLETE
5,1.042190631128091,2026-07-17 22:03:42.207612,2026-07-17 22:03:42.210799,0 days 00:00:00.003187,0.05330930205460218,0.5285592523914983,COMPLETE
6,1.019935896380371,2026-07-17 22:03:42.210831,2026-07-17 22:03:42.444915,0 days 00:00:00.234084,6.419181746759598e-05,0.5133065588404315,COMPLETE
7,1.0196700937963188,2026-07-17 22:03:42.444950,2026-07-17 22:03:42.660152,0 days 00:00:00.215202,0.00012783188524672593,0.77962844486034,COMPLETE
8,1.1400575098598156,2026-07-17 22:03:42.660184,2026-07-17 22:03:42.661739,0 days 00:00:00.001555,1.3300003517818502,0.49435210063428925,COMPLETE
9,1.0976360872619997,2026-07-17 22:03:42.661770,2026-07-17 22:03:42.663471,0 days 00:00:00.001701,1.2005186526406828,0.08805256746887977,COMPLETE
