model,r2_mean,r2_std
"Sequence
(composition)",0.26346068005914525,0.0019267984574584485
Descriptor-only,0.43269566730128545,0.004227395777955508
"Anchor-aware
descriptor",0.4717246839384477,0.0015506274846458432
