seed,setting,rmse,mae,r2,spearman
0,Position-only,1.0216133009976889,0.6809894565323173,0.20036919583268242,0.4451888845921539
1,Position-only,1.0254171616490726,0.6823006794497967,0.19440344180284108,0.4482478160627792
2,Position-only,1.0349636615054003,0.6894174436662021,0.17933362030084854,0.4609021942051855
3,Position-only,1.0286391130905186,0.6868657796340348,0.18933297705826047,0.4262583827581264
4,Position-only,1.0391400957281278,0.6910077202605762,0.17269691455083003,0.46550943241161286
0,AA composition,0.9816358314093337,0.6475629959708459,0.26172656128631455,0.5241746635435711
1,AA composition,0.98247364113281,0.6477791256855584,0.26046581549980474,0.5268458069846121
2,AA composition,0.9898925721688365,0.6497452945044367,0.24925479033764297,0.5251156974315021
3,AA composition,0.9825617290078895,0.6490010956841891,0.2603331973561406,0.5200190651553351
4,AA composition,0.9849670303596777,0.646847623555267,0.25670737081794726,0.5203656439215112
0,Correct site,0.8321096938182689,0.5004932357069236,0.4695095113460592,0.7409154709710263
1,Correct site,0.8282313129709987,0.4965146112926697,0.4744431141977593,0.7460602685202742
2,Correct site,0.8433096705785248,0.5126280784387794,0.4551328815036828,0.7294402695334025
3,Correct site,0.8294276755417281,0.49758421214989695,0.47292370605684986,0.7389089379756586
4,Correct site,0.8380587976577114,0.5040762525059834,0.46189699436311504,0.7391149797346738
0,Wrong site,0.8995361447673884,0.6172352916095842,0.38005426558780975,0.6653025354611166
1,Wrong site,0.9161178882617933,0.6278850048478113,0.3569878703031809,0.6545572175601871
2,Wrong site,1.0000930959082261,0.6954753556833321,0.23370269684618183,0.6030953631193726
3,Wrong site,0.9845677213739066,0.7009012608444048,0.25730991537869674,0.6072523197229567
4,Wrong site,1.057129504466185,0.7576417303256926,0.14380472438732417,0.5813605725883045
0,Coarse position,1.0779324447388978,0.7718454395916458,0.109775532036257,0.6080171622572641
1,Coarse position,0.8913010013350133,0.6051937670611388,0.3913533616421706,0.6671354845630602
2,Coarse position,0.8902648713088671,0.602128133100571,0.3927676324691878,0.6697307517253597
3,Coarse position,0.9629059308501887,0.6907626254968179,0.2896307361771948,0.6190513945053808
4,Coarse position,1.0138743589268606,0.7266412149739068,0.21243806302988466,0.6149798895192342
0,Shift -5,0.9915753580245984,0.7583252219078574,0.24670013485795594,0.6485052087584376
1,Shift -5,1.0419524416348507,0.7917134820303252,0.16821280136073502,0.6189285103999119
2,Shift -5,1.0566004162664229,0.8173433019566259,0.14466155309609985,0.6248704444575507
3,Shift -5,1.1240418152352019,0.9084716200909231,0.031986589112189656,0.6278125128915968
4,Shift -5,1.066785175612429,0.8434987816015812,0.12809256154233672,0.6216518419210104
0,Shift -3,1.0288025245917085,0.7861683527032086,0.18907538849119954,0.6234530491027382
1,Shift -3,1.0562349812453482,0.8202434075240557,0.14525310419874826,0.615993158314715
2,Shift -3,1.2246885557246916,0.945322674982812,-0.1491262826797244,0.5998989730230205
3,Shift -3,1.0766321592377515,0.8328132845133805,0.1119219519039566,0.6264078326444061
4,Shift -3,1.0146841855256308,0.7720923795667826,0.2111794389919074,0.6266699684297445
